FILE_VERSION	2.0.0
NO_OF_FRAMES	3510
NO_OF_CAMERAS	0
NO_OF_MARKERS	4
FREQUENCY	100
DESCRIPTION	--
TIME_STAMP	2026-03-25, 10:44:47.300	1774431887.30039096
DATA_INCLUDED	3D_ACCELERATION
MARKER_NAMES	RWristIn	LWristIn	RAnkleOut	LAnkleOut
TRAJECTORY_TYPES	Measured	Measured	Measured	Measured
Frame	Time	RWristIn X	RWristIn Y	RWristIn Z	LWristIn X	LWristIn Y	LWristIn Z	RAnkleOut X	RAnkleOut Y	RAnkleOut Z	LAnkleOut X	LAnkleOut Y	LAnkleOut Z
1	0.00000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	-0.0247	0.0410	0.0342	0.0000	0.0000	0.0000
2	0.00000	0.0000	0.0000	0.0000	0.0405	-0.1503	-0.0599	-0.0166	0.0416	0.0267	-0.0152	0.0125	-0.0237
3	0.01000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
4	0.02165	0.0000	0.0000	0.0000	0.0279	-0.1455	-0.0594	-0.0124	0.0245	0.0246	-0.0068	0.0112	-0.0226
5	0.03392	0.0000	0.0000	0.0000	0.0259	-0.1376	-0.0562	0.0000	0.0000	0.0000	-0.0125	0.0224	-0.0301
6	0.04411	0.0000	0.0000	0.0000	0.0156	-0.1110	-0.0405	-0.0117	0.0077	-0.0048	-0.0120	0.0184	-0.0371
7	0.05664	0.0000	0.0000	0.0000	0.0177	-0.1031	-0.0372	-0.0159	0.0179	-0.0097	-0.0066	0.0110	-0.0717
8	0.05831	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0117	0.0845	-0.0428
9	0.06829	0.0000	0.0000	0.0000	0.0269	-0.0934	-0.0350	-0.0116	0.0128	-0.0129	-0.0014	0.0231	-0.0505
10	0.07954	0.0000	0.0000	0.0000	0.0338	-0.0877	-0.0333	-0.0122	0.0211	-0.0027	0.0030	0.0397	-0.0501
11	0.08903	0.0000	0.0000	0.0000	0.0391	-0.0829	-0.0302	-0.0086	0.0259	0.0183	0.0071	0.0309	-0.0479
12	0.10102	0.0000	0.0000	0.0000	0.0383	-0.0849	-0.0272	0.0000	0.0000	0.0000	0.0083	0.0191	-0.0529
13	0.11178	0.0000	0.0000	0.0000	0.0440	-0.0880	-0.0247	-0.0049	0.0325	0.0135	0.0015	0.0265	-0.0429
14	0.12208	0.0000	0.0000	0.0000	0.0366	-0.0900	-0.0239	0.0000	0.0000	0.0000	0.0106	0.0118	-0.0374
15	0.13390	0.0000	0.0000	0.0000	0.0312	-0.0872	-0.0202	0.0017	0.0290	0.0083	-0.0090	-0.0338	-0.0321
16	0.14390	0.0000	0.0000	0.0000	0.0218	-0.0834	-0.0184	0.0084	0.0306	-0.0171	-0.0049	-0.0027	-0.0502
17	0.14812	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0133	0.0004	-0.0608
18	0.15792	0.0000	0.0000	0.0000	0.0180	-0.0701	-0.0091	0.0084	0.0329	-0.0234	0.0181	0.0028	-0.0554
19	0.17048	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0207	0.0281	-0.0246	0.0100	0.0152	-0.0191
20	0.17882	0.0000	0.0000	0.0000	0.0176	-0.0571	-0.0045	0.0222	0.0364	-0.0245	0.0057	-0.0160	-0.0129
21	0.19028	0.0000	0.0000	0.0000	0.0120	-0.0506	0.0008	0.0000	0.0000	0.0000	0.0149	-0.0226	0.0252
22	0.19868	0.0000	0.0000	0.0000	0.0095	-0.0454	0.0032	0.0323	0.0361	-0.0151	0.0068	-0.0534	0.0413
23	0.21144	0.0000	0.0000	0.0000	0.0025	-0.0335	0.0083	0.0351	0.0362	-0.0174	0.0099	-0.0558	0.0607
24	0.22143	0.0000	0.0000	0.0000	-0.0000	-0.0303	0.0106	0.0351	0.0431	-0.0134	0.0026	-0.0777	0.0779
25	0.23372	0.0000	0.0000	0.0000	-0.0055	-0.0168	0.0134	0.0406	0.0351	-0.0193	0.0044	-0.0821	0.0897
26	0.24376	0.0000	0.0000	0.0000	-0.0132	-0.0087	0.0181	0.0000	0.0000	0.0000	0.0057	-0.0757	0.0886
27	0.24944	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0390	0.0342	-0.0147	0.0085	-0.0553	0.1004
28	0.25685	0.0000	0.0000	0.0000	-0.0177	-0.0003	0.0205	0.0156	0.0428	-0.0077	0.0111	-0.0459	0.0650
29	0.26633	0.0000	0.0000	0.0000	-0.0258	-0.0043	0.0235	-0.0144	0.0465	-0.0060	0.0055	-0.0406	0.0437
30	0.27932	0.0000	0.0000	0.0000	-0.0270	0.0061	0.0157	-0.0437	0.0537	0.0005	0.0148	-0.0066	0.0109
31	0.28883	0.0000	0.0000	0.0000	-0.0220	0.0055	0.0210	-0.0750	0.0584	0.0294	0.0254	0.0214	-0.0171
32	0.30116	0.0000	0.0000	0.0000	-0.0108	0.0135	0.0168	0.0000	0.0000	0.0000	-0.0016	-0.0140	-0.0090
33	0.31113	0.0000	0.0000	0.0000	-0.0040	0.0164	0.0190	-0.0350	-0.0091	-0.1307	-0.0160	-0.0406	-0.0075
34	0.32351	0.0000	0.0000	0.0000	0.0057	0.0287	0.0189	0.0000	0.0000	0.0000	-0.0023	-0.0410	-0.0229
35	0.33349	0.0000	0.0000	0.0000	0.0320	0.0451	0.0171	-0.0399	-0.0004	0.0955	-0.0075	-0.0626	-0.0070
36	0.33962	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	-0.0101	0.0010	0.0239	0.0079	-0.0495	-0.0286
37	0.34653	0.0000	0.0000	0.0000	0.0241	0.0634	0.0189	0.0306	-0.0430	-0.0422	0.0100	-0.0468	-0.0062
38	0.36104	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0208	-0.0724	-0.0631	0.0019	-0.0580	0.0076
39	0.36809	0.0000	0.0000	0.0000	0.0115	0.0667	0.0211	0.0019	0.0189	0.0760	-0.0046	-0.0215	-0.0002
40	0.37833	0.0000	0.0000	0.0000	-0.0010	0.0712	0.0254	-0.0142	0.0436	0.0677	-0.0178	0.0087	-0.0056
41	0.38902	0.0000	0.0000	0.0000	-0.0040	0.0784	0.0270	-0.0133	0.0893	0.1059	-0.0549	-0.0224	0.0775
42	0.40081	0.0000	0.0000	0.0000	-0.0032	0.0802	0.0264	-0.0631	0.0769	0.0786	-0.0506	-0.0009	0.0224
43	0.41070	0.0000	0.0000	0.0000	0.0007	0.0875	0.0178	-0.0671	0.0558	0.0686	-0.0370	0.0514	-0.0025
