FILE_VERSION	2.0.0
NO_OF_FRAMES	3330
NO_OF_CAMERAS	0
NO_OF_MARKERS	4
FREQUENCY	100
DESCRIPTION	--
TIME_STAMP	2026-03-25, 10:44:48.199	1774431888.19992709
DATA_INCLUDED	3D_ACCELERATION
MARKER_NAMES	RWristIn	LWristIn	RAnkleOut	LAnkleOut
TRAJECTORY_TYPES	Measured	Measured	Measured	Measured
Frame	Time	RWristIn X	RWristIn Y	RWristIn Z	LWristIn X	LWristIn Y	LWristIn Z	RAnkleOut X	RAnkleOut Y	RAnkleOut Z	LAnkleOut X	LAnkleOut Y	LAnkleOut Z
1	0.00000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0029	0.0253	0.0248	0.0006	-0.0011	0.0087
2	0.00000	0.0000	0.0000	0.0000	0.0250	0.0027	0.0119	0.0085	0.0077	0.0118	-0.0052	-0.0043	0.0107
3	0.01052	0.0000	0.0000	0.0000	0.0196	0.0053	0.0162	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
4	0.02079	0.0000	0.0000	0.0000	0.0285	0.0052	0.0203	0.0034	0.0080	0.0218	0.0045	0.0073	0.0056
5	0.03179	0.0000	0.0000	0.0000	0.0266	0.0094	0.0167	0.0131	0.0218	0.0244	0.0067	0.0037	0.0021
6	0.03968	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0227	0.0274	0.0178	0.0007	-0.0004	0.0101
7	0.04230	0.0000	0.0000	0.0000	0.0227	-0.0031	0.0057	0.0240	0.0196	0.0213	0.0015	-0.0047	0.0059
8	0.05560	0.0000	0.0000	0.0000	0.0178	-0.0018	0.0070	0.0212	0.0168	0.0123	0.0037	-0.0054	0.0031
9	0.06435	0.0000	0.0000	0.0000	0.0187	-0.0070	0.0071	0.0210	0.0060	0.0084	0.0044	-0.0032	0.0068
10	0.07670	0.0000	0.0000	0.0000	0.0210	-0.0027	0.0109	0.0137	0.0042	-0.0006	0.0029	-0.0033	0.0047
11	0.08660	0.0000	0.0000	0.0000	0.0219	0.0015	0.0146	0.0035	0.0048	0.0005	-0.0037	-0.0048	0.0054
12	0.09972	0.0000	0.0000	0.0000	0.0256	0.0051	0.0199	0.0007	0.0104	-0.0020	-0.0029	-0.0051	0.0011
13	0.10938	0.0000	0.0000	0.0000	0.0197	0.0012	0.0132	-0.0044	0.0103	-0.0002	0.0030	-0.0040	-0.0038
14	0.11957	0.0000	0.0000	0.0000	0.0229	0.0026	0.0118	-0.0052	0.0095	-0.0063	-0.0000	-0.0042	-0.0016
15	0.13176	0.0000	0.0000	0.0000	0.0180	-0.0056	0.0126	-0.0045	0.0096	-0.0073	-0.0117	0.0021	0.0004
16	0.14184	0.0000	0.0000	0.0000	0.0154	0.0008	0.0062	0.0011	0.0012	0.0019	0.0005	0.0016	0.0050
