FILE_VERSION	2.0.0
NO_OF_FRAMES	3804
NO_OF_CAMERAS	0
NO_OF_MARKERS	4
FREQUENCY	100
DESCRIPTION	--
TIME_STAMP	2026-03-25, 10:44:47.610	1774431887.61023498
DATA_INCLUDED	3D_ACCELERATION
MARKER_NAMES	RWristIn	LWristIn	RAnkleOut	LAnkleOut
TRAJECTORY_TYPES	Measured	Measured	Measured	Measured
Frame	Time	RWristIn X	RWristIn Y	RWristIn Z	LWristIn X	LWristIn Y	LWristIn Z	RAnkleOut X	RAnkleOut Y	RAnkleOut Z	LAnkleOut X	LAnkleOut Y	LAnkleOut Z
1	0.00000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	-0.0052	0.0081	-0.0016	0.0039	0.0065	0.0030
2	0.00000	0.0000	0.0000	0.0000	-0.0075	0.0015	0.0069	-0.0001	0.0064	-0.0044	0.0038	-0.0059	0.0009
3	0.01000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
4	0.01915	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0020	0.0019	-0.0036	0.0038	-0.0030	0.0001
5	0.02249	0.0000	0.0000	0.0000	-0.0011	0.0026	0.0152	-0.0002	0.0025	-0.0022	0.0025	0.0007	-0.0036
6	0.04346	0.0000	0.0000	0.0000	-0.0097	0.0046	0.0122	-0.0023	0.0037	-0.0037	0.0003	-0.0035	-0.0007
7	0.05346	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
8	0.05415	0.0000	0.0000	0.0000	-0.0023	0.0021	0.0117	-0.0024	-0.0001	-0.0022	-0.0057	-0.0091	0.0029
9	0.06387	0.0000	0.0000	0.0000	-0.0051	0.0019	0.0080	-0.0015	0.0063	-0.0008	0.0025	-0.0075	0.0007
10	0.07528	0.0000	0.0000	0.0000	-0.0036	0.0018	0.0073	0.0014	0.0010	0.0000	0.0000	0.0000	0.0000
11	0.08634	0.0000	0.0000	0.0000	-0.0015	0.0025	0.0110	-0.0058	0.0053	0.0007	-0.0003	-0.0005	0.0040
12	0.09877	0.0000	0.0000	0.0000	-0.0021	0.0009	0.0087	0.0014	0.0020	-0.0036	0.0041	-0.0020	0.0017
13	0.10895	0.0000	0.0000	0.0000	-0.0006	0.0030	0.0123	0.0008	0.0026	-0.0036	-0.0003	0.0040	0.0057
14	0.12152	0.0000	0.0000	0.0000	-0.0034	0.0007	0.0078	-0.0044	0.0011	-0.0036	0.0000	0.0000	0.0000
15	0.13183	0.0000	0.0000	0.0000	-0.0033	0.0028	0.0084	-0.0079	0.0046	-0.0044	-0.0052	0.0055	-0.0012
16	0.13990	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	-0.0006	0.0021	-0.0050	-0.0039	-0.0024	0.0009
17	0.14434	0.0000	0.0000	0.0000	-0.0024	-0.0024	0.0039	-0.0028	0.0057	-0.0007	0.0004	-0.0097	0.0010
18	0.15416	0.0000	0.0000	0.0000	-0.0015	-0.0012	0.0029	-0.0050	0.0049	-0.0021	0.0018	-0.0111	0.0023
19	0.16423	0.0000	0.0000	0.0000	0.0016	-0.0050	-0.0008	-0.0035	0.0041	0.0015	0.0049	0.0027	0.0020
