FILE_VERSION	2.0.0
NO_OF_FRAMES	3535
NO_OF_CAMERAS	0
NO_OF_MARKERS	4
FREQUENCY	100
DESCRIPTION	--
TIME_STAMP	2026-03-25, 10:44:47.356	1774431887.35654306
DATA_INCLUDED	3D_ACCELERATION
MARKER_NAMES	RWristIn	LWristIn	RAnkleOut	LAnkleOut
TRAJECTORY_TYPES	Measured	Measured	Measured	Measured
Frame	Time	RWristIn X	RWristIn Y	RWristIn Z	LWristIn X	LWristIn Y	LWristIn Z	RAnkleOut X	RAnkleOut Y	RAnkleOut Z	LAnkleOut X	LAnkleOut Y	LAnkleOut Z
1	0.00000	0.0000	0.0000	0.0000	-0.0099	0.0300	0.0391	-0.0011	0.0035	0.0059	0.0009	-0.0239	0.0000
2	0.00806	0.0000	0.0000	0.0000	-0.0008	0.0193	0.0317	-0.0027	-0.0017	0.0032	0.0056	-0.0208	-0.0084
3	0.01806	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
4	0.01955	0.0000	0.0000	0.0000	-0.0020	0.0078	0.0269	-0.0064	-0.0011	-0.0029	0.0078	-0.0138	-0.0008
5	0.03023	0.0000	0.0000	0.0000	-0.0046	0.0079	0.0213	0.0046	0.0097	-0.0012	0.0050	-0.0199	0.0022
6	0.04155	0.0000	0.0000	0.0000	-0.0027	0.0022	0.0225	0.0024	0.0111	-0.0017	-0.0068	-0.0261	0.0165
7	0.05306	0.0000	0.0000	0.0000	0.0055	0.0080	0.0237	0.0044	0.0082	-0.0014	-0.0044	-0.0233	0.0149
8	0.06246	0.0000	0.0000	0.0000	0.0066	0.0073	0.0189	0.0117	0.0095	-0.0142	0.0032	-0.0098	0.0089
9	0.07484	0.0000	0.0000	0.0000	0.0176	0.0015	0.0216	0.0087	0.0104	-0.0089	0.0000	0.0000	0.0000
10	0.08424	0.0000	0.0000	0.0000	0.0129	-0.0006	0.0159	0.0065	0.0164	-0.0059	0.0011	-0.0181	0.0003
11	0.09483	0.0000	0.0000	0.0000	0.0080	-0.0027	0.0146	0.0002	-0.0029	-0.0057	0.0042	-0.0134	-0.0032
12	0.10800	0.0000	0.0000	0.0000	0.0062	-0.0069	0.0104	-0.0060	-0.0193	-0.0113	0.0156	0.0159	-0.0084
13	0.11998	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	-0.0136	-0.0262	-0.0091	-0.0028	-0.0247	-0.0139
14	0.11882	0.0000	0.0000	0.0000	0.0021	-0.0147	0.0041	-0.0122	-0.0238	-0.0068	-0.0053	0.0046	-0.0179
15	0.13159	0.0000	0.0000	0.0000	-0.0013	-0.0160	0.0043	-0.0114	-0.0143	-0.0003	-0.0047	-0.0105	-0.0154
16	0.14093	0.0000	0.0000	0.0000	0.0012	-0.0252	0.0059	-0.0091	-0.0057	-0.0083	-0.0040	-0.0197	-0.0108
17	0.15210	0.0000	0.0000	0.0000	0.0080	-0.0171	0.0035	-0.0016	0.0079	-0.0067	0.0049	-0.0169	-0.0072
18	0.16383	0.0000	0.0000	0.0000	0.0038	-0.0162	0.0046	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
19	0.17471	0.0000	0.0000	0.0000	0.0069	-0.0107	0.0029	-0.0019	0.0005	-0.0064	-0.0015	-0.0142	-0.0066
20	0.18490	0.0000	0.0000	0.0000	0.0070	-0.0145	-0.0002	0.0000	0.0000	0.0000	-0.0023	-0.0262	-0.0001
21	0.19628	0.0000	0.0000	0.0000	0.0027	-0.0179	-0.0027	-0.0071	0.0035	-0.0049	-0.0001	-0.0296	0.0029
22	0.20638	0.0000	0.0000	0.0000	0.0049	-0.0116	-0.0072	-0.0031	-0.0089	-0.0074	-0.0074	-0.0388	0.0064
