FILE_VERSION	2.0.0
NO_OF_FRAMES	3490
NO_OF_CAMERAS	0
NO_OF_MARKERS	4
FREQUENCY	100
DESCRIPTION	--
TIME_STAMP	2026-03-25, 10:44:47.262	1774431887.26228499
DATA_INCLUDED	3D_ACCELERATION
MARKER_NAMES	RWristIn	LWristIn	RAnkleOut	LAnkleOut
TRAJECTORY_TYPES	Measured	Measured	Measured	Measured
Frame	Time	RWristIn X	RWristIn Y	RWristIn Z	LWristIn X	LWristIn Y	LWristIn Z	RAnkleOut X	RAnkleOut Y	RAnkleOut Z	LAnkleOut X	LAnkleOut Y	LAnkleOut Z
1	0.00000	0.0000	0.0000	0.0000	0.0194	-0.0444	-0.0163	-0.0500	-0.0045	0.0280	0.0000	0.0000	0.0000
2	0.00952	0.0000	0.0000	0.0000	0.0158	-0.0389	-0.0206	-0.0471	0.0099	0.0298	0.0093	0.0144	-0.0013
3	0.02173	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	-0.0285	-0.0045	0.0131	0.0000	0.0000	0.0000
4	0.02280	0.0000	0.0000	0.0000	0.0141	-0.0333	-0.0196	-0.0112	-0.0055	0.0022	0.0057	0.0061	-0.0011
5	0.03143	0.0000	0.0000	0.0000	0.0087	-0.0332	-0.0165	0.0009	-0.0071	-0.0024	0.0131	0.0064	-0.0067
6	0.04391	0.0000	0.0000	0.0000	-0.0003	-0.0279	-0.0178	-0.0045	-0.0075	0.0046	0.0016	0.0135	-0.0077
7	0.05381	0.0000	0.0000	0.0000	-0.0138	-0.0237	-0.0192	-0.0040	-0.0024	0.0071	-0.0012	0.0014	-0.0178
8	0.06523	0.0000	0.0000	0.0000	-0.0300	-0.0332	-0.0321	-0.0021	-0.0113	-0.0004	-0.0034	-0.0134	-0.0170
9	0.07634	0.0000	0.0000	0.0000	-0.0358	-0.0278	-0.0288	0.0106	-0.0227	-0.0048	-0.0064	-0.0200	-0.0113
10	0.08646	0.0000	0.0000	0.0000	-0.0313	-0.0303	-0.0382	0.0154	-0.0326	-0.0094	0.0031	-0.0130	-0.0013
11	0.09884	0.0000	0.0000	0.0000	-0.0316	-0.0234	-0.0352	0.0159	-0.0316	-0.0047	-0.0024	-0.0003	-0.0077
12	0.10944	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0143	-0.0332	-0.0066	-0.0003	-0.0023	-0.0052
13	0.10912	0.0000	0.0000	0.0000	-0.0194	-0.0142	-0.0412	0.0128	-0.0246	0.0002	0.0021	0.0051	-0.0058
14	0.12262	0.0000	0.0000	0.0000	-0.0098	-0.0091	-0.0364	0.0049	-0.0178	-0.0003	0.0007	-0.0015	-0.0129
15	0.13133	0.0000	0.0000	0.0000	-0.0072	-0.0059	-0.0447	0.0070	-0.0163	0.0036	-0.0035	0.0022	-0.0188
