FILE_VERSION	2.0.0
NO_OF_FRAMES	3570
NO_OF_CAMERAS	0
NO_OF_MARKERS	4
FREQUENCY	100
DESCRIPTION	--
TIME_STAMP	2026-03-25, 10:44:48.116	1774431888.11684704
DATA_INCLUDED	3D_ACCELERATION
MARKER_NAMES	RWristIn	LWristIn	RAnkleOut	LAnkleOut
TRAJECTORY_TYPES	Measured	Measured	Measured	Measured
Frame	Time	RWristIn X	RWristIn Y	RWristIn Z	LWristIn X	LWristIn Y	LWristIn Z	RAnkleOut X	RAnkleOut Y	RAnkleOut Z	LAnkleOut X	LAnkleOut Y	LAnkleOut Z
1	0.00000	0.0000	0.0000	0.0000	-0.0243	-0.0550	-0.0385	0.0219	0.0178	-0.0361	0.0000	0.0000	0.0000
2	0.00945	0.0000	0.0000	0.0000	-0.0138	-0.0580	-0.0419	0.0073	0.0169	-0.0400	0.0341	-0.0219	0.0114
3	0.01945	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
4	0.02227	0.0000	0.0000	0.0000	-0.0128	-0.0637	-0.0425	0.0085	0.0095	-0.0324	0.0146	-0.0121	0.0065
5	0.03275	0.0000	0.0000	0.0000	-0.0121	-0.0590	-0.0394	0.0136	0.0149	-0.0102	0.0075	0.0121	0.0008
6	0.04488	0.0000	0.0000	0.0000	-0.0069	-0.0622	-0.0420	0.0097	0.0147	0.0119	-0.0013	0.0019	-0.0044
7	0.05496	0.0000	0.0000	0.0000	-0.0035	-0.0556	-0.0358	0.0083	0.0219	0.0266	-0.0146	-0.0045	0.0004
8	0.06766	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	-0.0020	0.0221	0.0390	-0.0140	-0.0112	-0.0070
9	0.06948	0.0000	0.0000	0.0000	-0.0030	-0.0367	-0.0274	-0.0174	0.0203	0.0398	-0.0089	-0.0049	-0.0065
10	0.08756	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	-0.0181	0.0175	0.0356	-0.0128	-0.0081	-0.0054
11	0.08969	0.0000	0.0000	0.0000	-0.0005	-0.0313	-0.0269	-0.0190	0.0127	0.0336	-0.0144	0.0010	0.0006
12	0.10056	0.0000	0.0000	0.0000	0.0001	-0.0315	-0.0169	-0.0186	-0.0042	0.0341	-0.0095	-0.0068	0.0033
13	0.11146	0.0000	0.0000	0.0000	0.0009	-0.0285	-0.0156	-0.0079	-0.0164	0.0208	-0.0069	-0.0020	0.0159
14	0.12193	0.0000	0.0000	0.0000	-0.0013	-0.0276	-0.0149	-0.0037	-0.0151	0.0335	-0.0041	-0.0063	0.0110
15	0.13384	0.0000	0.0000	0.0000	-0.0044	-0.0258	-0.0112	-0.0152	-0.0080	0.0291	-0.0019	0.0041	0.0066
16	0.14368	0.0000	0.0000	0.0000	-0.0061	-0.0289	-0.0067	-0.0095	-0.0115	0.0287	0.0001	0.0007	0.0083
17	0.15355	0.0000	0.0000	0.0000	-0.0078	-0.0181	-0.0028	-0.0111	-0.0136	0.0188	0.0044	0.0001	-0.0009
18	0.16751	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	-0.0041	-0.0291	0.0179	-0.0044	0.0072	0.0019
19	0.16901	0.0000	0.0000	0.0000	-0.0051	-0.0081	0.0066	-0.0058	-0.0349	0.0270	-0.0090	0.0033	0.0056
20	0.18779	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	-0.0107	-0.0199	0.0206	-0.0003	0.0065	0.0037
21	0.19149	0.0000	0.0000	0.0000	-0.0031	-0.0088	0.0050	-0.0048	-0.0170	0.0152	-0.0136	0.0071	0.0080
22	0.19951	0.0000	0.0000	0.0000	0.0015	-0.0072	0.0122	-0.0035	-0.0221	0.0135	-0.0168	-0.0040	0.0104
23	0.21164	0.0000	0.0000	0.0000	0.0027	-0.0019	0.0120	-0.0070	-0.0180	-0.0013	-0.0111	-0.0043	0.0084
24	0.22271	0.0000	0.0000	0.0000	-0.0007	0.0028	0.0203	0.0017	-0.0185	-0.0080	-0.0097	-0.0067	0.0049
25	0.23377	0.0000	0.0000	0.0000	-0.0009	0.0104	0.0178	-0.0026	-0.0137	-0.0082	0.0005	0.0010	0.0029
26	0.24358	0.0000	0.0000	0.0000	-0.0064	0.0093	0.0210	0.0017	-0.0150	-0.0083	-0.0040	-0.0035	0.0029
27	0.25385	0.0000	0.0000	0.0000	-0.0082	0.0119	0.0227	-0.0020	-0.0096	-0.0006	0.0062	0.0014	0.0009
28	0.26739	0.0000	0.0000	0.0000	-0.0158	0.0145	0.0285	0.0023	-0.0096	0.0022	0.0002	-0.0030	0.0016
29	0.27819	0.0000	0.0000	0.0000	-0.0189	0.0126	0.0250	0.0031	-0.0044	0.0042	0.0060	0.0020	-0.0020
30	0.27921	0.0000	0.0000	0.0000	-0.0213	0.0143	0.0279	0.0024	0.0007	0.0026	0.0081	0.0019	0.0017
31	0.28959	0.0000	0.0000	0.0000	-0.0214	0.0196	0.0258	0.0024	0.0022	0.0018	0.0029	0.0019	0.0016
32	0.29932	0.0000	0.0000	0.0000	-0.0201	0.0233	0.0301	-0.0021	-0.0014	0.0010	0.0036	0.0076	0.0031
33	0.31180	0.0000	0.0000	0.0000	-0.0150	0.0291	0.0286	-0.0020	0.0060	0.0038	-0.0045	0.0163	0.0036
34	0.32200	0.0000	0.0000	0.0000	-0.0055	0.0274	0.0308	-0.0050	0.0054	0.0095	-0.0076	0.0126	0.0059
35	0.33335	0.0000	0.0000	0.0000	0.0012	0.0336	0.0284	-0.0101	0.0114	0.0065	-0.0013	0.0051	0.0107
36	0.34390	0.0000	0.0000	0.0000	0.0058	0.0397	0.0267	-0.0110	0.0073	0.0072	-0.0101	0.0124	0.0114
37	0.35392	0.0000	0.0000	0.0000	0.0067	0.0405	0.0284	-0.0103	0.0075	0.0151	-0.0014	0.0056	0.0010
38	0.36779	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	-0.0026	-0.0070	0.0029	-0.0051	0.0049	0.0026
39	0.36707	0.0000	0.0000	0.0000	0.0020	0.0389	0.0299	-0.0028	-0.0155	-0.0050	-0.0037	0.0094	0.0014
40	0.38858	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	-0.0034	-0.0050	0.0029	0.0006	0.0042	-0.0033
41	0.38937	0.0000	0.0000	0.0000	-0.0039	0.0454	0.0260	0.0059	-0.0080	0.0022	0.0020	0.0080	-0.0059
42	0.39962	0.0000	0.0000	0.0000	-0.0062	0.0442	0.0258	0.0087	-0.0161	-0.0078	0.0041	0.0052	-0.0049
43	0.40927	0.0000	0.0000	0.0000	-0.0046	0.0414	0.0235	0.0080	-0.0051	0.0045	-0.0011	0.0076	0.0004
44	0.42190	0.0000	0.0000	0.0000	-0.0103	0.0411	0.0203	0.0014	-0.0104	0.0000	0.0016	0.0012	0.0001
45	0.43161	0.0000	0.0000	0.0000	-0.0152	0.0407	0.0222	0.0099	-0.0210	0.0017	-0.0013	0.0073	0.0024
46	0.44403	0.0000	0.0000	0.0000	-0.0127	0.0349	0.0177	0.0036	0.0007	0.0158	0.0044	0.0104	0.0085
47	0.45417	0.0000	0.0000	0.0000	-0.0115	0.0311	0.0094	0.0093	-0.0125	-0.0001	0.0007	0.0018	0.0016
48	0.46708	0.0000	0.0000	0.0000	-0.0088	0.0322	0.0055	0.0107	-0.0115	0.0094	0.0005	0.0029	0.0084
