FILE_VERSION	2.0.0
NO_OF_FRAMES	3575
NO_OF_CAMERAS	0
NO_OF_MARKERS	4
FREQUENCY	100
DESCRIPTION	--
TIME_STAMP	2026-03-25, 10:44:47.520	1774431887.52029610
DATA_INCLUDED	3D_ACCELERATION
MARKER_NAMES	RWristIn	LWristIn	RAnkleOut	LAnkleOut
TRAJECTORY_TYPES	Measured	Measured	Measured	Measured
Frame	Time	RWristIn X	RWristIn Y	RWristIn Z	LWristIn X	LWristIn Y	LWristIn Z	RAnkleOut X	RAnkleOut Y	RAnkleOut Z	LAnkleOut X	LAnkleOut Y	LAnkleOut Z
1	0.00000	0.0000	0.0000	0.0000	0.0051	-0.0043	0.0125	-0.0053	0.0091	-0.0008	-0.0003	-0.0012	0.0028
2	0.00963	0.0000	0.0000	0.0000	0.0024	-0.0029	0.0112	-0.0016	0.0114	-0.0027	-0.0025	0.0014	-0.0014
3	0.01963	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
4	0.02214	0.0000	0.0000	0.0000	0.0038	-0.0051	0.0164	-0.0003	0.0028	-0.0006	-0.0011	0.0005	0.0010
5	0.03216	0.0000	0.0000	0.0000	-0.0011	-0.0021	0.0142	0.0025	0.0015	-0.0000	0.0012	0.0038	-0.0055
6	0.04511	0.0000	0.0000	0.0000	0.0013	-0.0042	0.0099	-0.0004	0.0010	-0.0017	-0.0054	0.0001	-0.0046
7	0.05450	0.0000	0.0000	0.0000	0.0014	-0.0063	0.0114	-0.0011	0.0034	-0.0012	0.0011	0.0014	-0.0030
8	0.06772	0.0000	0.0000	0.0000	0.0002	-0.0040	0.0077	-0.0040	0.0087	-0.0014	-0.0019	-0.0016	-0.0029
9	0.07730	0.0000	0.0000	0.0000	0.0026	-0.0090	0.0126	-0.0062	0.0059	0.0013	0.0033	-0.0003	-0.0056
10	0.08679	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	-0.0019	0.0037	-0.0040	-0.0041	-0.0010	0.0002
11	0.08954	0.0000	0.0000	0.0000	0.0015	-0.0134	0.0044	0.0010	0.0009	-0.0084	0.0047	0.0002	-0.0046
12	0.10078	0.0000	0.0000	0.0000	0.0077	-0.0178	0.0006	-0.0005	0.0033	-0.0021	-0.0006	-0.0055	0.0028
13	0.11199	0.0000	0.0000	0.0000	0.0190	-0.0179	-0.0044	0.0025	0.0049	-0.0044	-0.0021	-0.0048	0.0021
14	0.12330	0.0000	0.0000	0.0000	0.0142	-0.0159	-0.0048	0.0003	0.0080	-0.0010	0.0002	-0.0019	0.0008
15	0.13445	0.0000	0.0000	0.0000	0.0202	-0.0125	-0.0005	-0.0048	0.0068	-0.0012	0.0031	-0.0057	-0.0019
16	0.14365	0.0000	0.0000	0.0000	0.0229	-0.0142	-0.0051	-0.0005	0.0083	-0.0014	0.0009	-0.0028	-0.0041
17	0.15724	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	-0.0056	0.0064	-0.0023	-0.0006	-0.0050	-0.0025
18	0.15744	0.0000	0.0000	0.0000	0.0299	-0.0189	-0.0102	-0.0013	0.0058	-0.0053	-0.0035	-0.0014	-0.0010
19	0.16804	0.0000	0.0000	0.0000	0.0270	-0.0187	-0.0158	-0.0013	0.0061	-0.0025	-0.0006	-0.0045	-0.0037
20	0.17977	0.0000	0.0000	0.0000	0.0237	-0.0240	-0.0139	-0.0057	0.0049	-0.0034	-0.0043	-0.0016	-0.0015
21	0.19078	0.0000	0.0000	0.0000	0.0144	-0.0242	-0.0092	-0.0021	0.0089	-0.0029	-0.0028	-0.0003	0.0000
