FILE_VERSION	2.0.0
NO_OF_FRAMES	3544
NO_OF_CAMERAS	0
NO_OF_MARKERS	4
FREQUENCY	100
DESCRIPTION	--
TIME_STAMP	2026-03-25, 10:44:48.159	1774431888.15964103
DATA_INCLUDED	3D_ACCELERATION
MARKER_NAMES	RWristIn	LWristIn	RAnkleOut	LAnkleOut
TRAJECTORY_TYPES	Measured	Measured	Measured	Measured
Frame	Time	RWristIn X	RWristIn Y	RWristIn Z	LWristIn X	LWristIn Y	LWristIn Z	RAnkleOut X	RAnkleOut Y	RAnkleOut Z	LAnkleOut X	LAnkleOut Y	LAnkleOut Z
1	0.00000	0.0000	0.0000	0.0000	-0.0100	-0.0026	0.0097	0.0005	-0.0004	0.0011	-0.0021	0.0021	0.0059
2	0.01158	0.0000	0.0000	0.0000	-0.0098	0.0044	0.0039	0.0019	-0.0039	0.0019	0.0016	0.0005	0.0045
3	0.02158	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
4	0.02149	0.0000	0.0000	0.0000	-0.0060	0.0026	0.0047	0.0011	-0.0031	0.0070	-0.0027	0.0055	0.0014
5	0.03354	0.0000	0.0000	0.0000	-0.0117	0.0009	0.0045	0.0012	-0.0024	0.0012	0.0000	0.0000	0.0000
6	0.04397	0.0000	0.0000	0.0000	-0.0044	-0.0070	0.0096	-0.0025	-0.0044	0.0056	-0.0035	-0.0012	-0.0008
7	0.05586	0.0000	0.0000	0.0000	-0.0027	-0.0044	0.0081	-0.0017	-0.0008	-0.0010	0.0000	0.0000	0.0000
8	0.06590	0.0000	0.0000	0.0000	0.0024	-0.0076	0.0110	0.0004	-0.0044	-0.0009	0.0017	0.0060	0.0006
9	0.07850	0.0000	0.0000	0.0000	0.0003	-0.0049	0.0108	0.0054	-0.0089	-0.0015	0.0031	0.0044	-0.0022
10	0.08805	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	-0.0018	-0.0057	0.0020	0.0000	0.0000	0.0000
11	0.08887	0.0000	0.0000	0.0000	-0.0038	-0.0037	0.0069	0.0011	-0.0050	0.0006	0.0002	0.0029	-0.0030
