FILE_VERSION	2.0.0
NO_OF_FRAMES	3302
NO_OF_CAMERAS	0
NO_OF_MARKERS	4
FREQUENCY	100
DESCRIPTION	--
TIME_STAMP	2026-03-25, 10:44:47.398	1774431887.39863491
DATA_INCLUDED	3D_ACCELERATION
MARKER_NAMES	RWristIn	LWristIn	RAnkleOut	LAnkleOut
TRAJECTORY_TYPES	Measured	Measured	Measured	Measured
Frame	Time	RWristIn X	RWristIn Y	RWristIn Z	LWristIn X	LWristIn Y	LWristIn Z	RAnkleOut X	RAnkleOut Y	RAnkleOut Z	LAnkleOut X	LAnkleOut Y	LAnkleOut Z
40	0.38410	0.0000	0.0000	0.0000	-0.0107	0.0037	0.0018	0.0036	0.0057	0.0010	0.0046	-0.0066	-0.0047
41	0.39431	0.0000	0.0000	0.0000	-0.0100	0.0045	-0.0003	-0.0000	0.0044	0.0009	-0.0014	-0.0109	-0.0011
42	0.40639	0.0000	0.0000	0.0000	-0.0078	0.0046	-0.0023	-0.0036	0.0059	-0.0057	-0.0014	-0.0087	-0.0012
43	0.41647	0.0000	0.0000	0.0000	-0.0086	-0.0004	-0.0036	-0.0014	0.0074	-0.0043	0.0001	-0.0052	-0.0005
44	0.42643	0.0000	0.0000	0.0000	-0.0086	-0.0018	-0.0042	-0.0029	0.0075	0.0015	-0.0050	-0.0095	0.0002
45	0.43700	0.0000	0.0000	0.0000	-0.0031	0.0071	0.0047	0.0007	0.0031	-0.0014	-0.0006	-0.0053	-0.0035
46	0.44937	0.0000	0.0000	0.0000	-0.0025	0.0080	0.0054	-0.0009	0.0003	0.0044	-0.0028	-0.0090	-0.0042
47	0.45926	0.0000	0.0000	0.0000	-0.0047	0.0059	0.0047	-0.0016	-0.0034	-0.0008	-0.0050	-0.0098	-0.0028
48	0.46916	0.0000	0.0000	0.0000	-0.0063	0.0003	0.0068	0.0036	0.0009	-0.0008	-0.0021	-0.0040	-0.0021
49	0.48233	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	-0.0051	0.0054	-0.0031	-0.0021	-0.0042	-0.0036
50	0.48207	0.0000	0.0000	0.0000	-0.0092	0.0040	0.0046	-0.0020	0.0118	-0.0053	-0.0013	0.0009	-0.0022
51	0.49204	0.0000	0.0000	0.0000	-0.0071	0.0034	0.0061	0.0013	0.0001	0.0021	-0.0007	-0.0028	-0.0006
52	0.50381	0.0000	0.0000	0.0000	-0.0079	0.0085	0.0090	-0.0058	0.0046	-0.0016	-0.0015	-0.0006	0.0037
53	0.51386	0.0000	0.0000	0.0000	0.0050	0.0114	0.0173	0.0007	0.0037	-0.0044	-0.0007	-0.0014	0.0030
54	0.52631	0.0000	0.0000	0.0000	0.0066	0.0114	0.0115	0.0036	0.0016	0.0014	-0.0015	-0.0064	0.0045
55	0.53635	0.0000	0.0000	0.0000	0.0031	0.0091	0.0071	-0.0037	0.0038	0.0014	0.0023	-0.0057	-0.0042
56	0.54922	0.0000	0.0000	0.0000	0.0002	0.0098	0.0091	-0.0001	0.0030	0.0014	0.0000	-0.0085	-0.0019
57	0.55922	0.0000	0.0000	0.0000	-0.0021	0.0120	0.0140	-0.0008	0.0008	-0.0015	-0.0014	-0.0040	-0.0005
58	0.57300	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	-0.0022	0.0037	0.0021	0.0016	-0.0025	-0.0026
59	0.56995	0.0000	0.0000	0.0000	-0.0086	0.0076	0.0145	-0.0080	0.0037	0.0013	0.0030	-0.0039	-0.0025
60	0.58146	0.0000	0.0000	0.0000	-0.0057	0.0040	0.0159	0.0001	0.0085	-0.0008	0.0001	-0.0125	-0.0024
61	0.59149	0.0000	0.0000	0.0000	-0.0091	0.0097	0.0125	0.0000	0.0000	0.0000	-0.0014	-0.0116	0.0005
62	0.60358	0.0000	0.0000	0.0000	-0.0105	0.0162	0.0129	-0.0028	0.0077	-0.0015	-0.0057	-0.0107	-0.0047
63	0.61360	0.0000	0.0000	0.0000	-0.0089	0.0081	0.0084	-0.0007	0.0047	0.0023	-0.0012	-0.0070	-0.0046
64	0.62604	0.0000	0.0000	0.0000	-0.0089	0.0103	0.0117	-0.0013	0.0081	-0.0006	-0.0028	-0.0069	0.0012
65	0.63601	0.0000	0.0000	0.0000	-0.0053	0.0095	0.0151	0.0000	0.0000	0.0000	0.0010	-0.0047	-0.0016
66	0.64883	0.0000	0.0000	0.0000	-0.0049	0.0080	0.0075	-0.0029	0.0015	0.0016	0.0002	-0.0061	-0.0031
67	0.65880	0.0000	0.0000	0.0000	-0.0071	0.0093	0.0099	-0.0014	0.0050	0.0002	-0.0019	-0.0045	-0.0009
68	0.67046	0.0000	0.0000	0.0000	-0.0033	0.0091	0.0104	0.0045	0.0041	0.0003	0.0017	-0.0074	-0.0023
69	0.66951	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0016	-0.0131	-0.0007
70	0.68120	0.0000	0.0000	0.0000	-0.0009	0.0080	0.0141	0.0002	0.0084	0.0003	-0.0048	-0.0063	-0.0031
71	0.69350	0.0000	0.0000	0.0000	0.0009	0.0077	0.0094	-0.0006	0.0083	0.0032	0.0025	-0.0092	-0.0015
72	0.70346	0.0000	0.0000	0.0000	-0.0076	0.0103	0.0087	-0.0007	-0.0013	0.0019	-0.0033	-0.0083	-0.0016
73	0.71522	0.0000	0.0000	0.0000	-0.0030	0.0056	0.0070	0.0009	0.0059	-0.0018	-0.0019	-0.0119	-0.0008
74	0.72535	0.0000	0.0000	0.0000	-0.0041	0.0045	0.0029	0.0053	0.0065	0.0055	-0.0012	-0.0184	-0.0029
75	0.73870	0.0000	0.0000	0.0000	-0.0031	0.0041	-0.0010	0.0009	0.0050	-0.0010	-0.0011	-0.0147	-0.0052
76	0.74907	0.0000	0.0000	0.0000	-0.0016	0.0053	0.0080	0.0024	0.0048	-0.0009	-0.0017	-0.0044	-0.0039
77	0.75030	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0004	-0.0124	-0.0045
78	0.76161	0.0000	0.0000	0.0000	-0.0077	-0.0052	-0.0034	-0.0020	0.0026	-0.0017	0.0006	0.0036	-0.0084
79	0.77107	0.0000	0.0000	0.0000	-0.0117	-0.0037	0.0001	-0.0072	0.0012	-0.0038	-0.0028	-0.0209	0.0071
80	0.78325	0.0000	0.0000	0.0000	-0.0012	-0.0054	-0.0044	-0.0049	0.0063	0.0042	0.0017	-0.0129	0.0048
81	0.79341	0.0000	0.0000	0.0000	-0.0083	-0.0101	-0.0057	-0.0027	0.0040	-0.0031	-0.0002	-0.0086	-0.0049
82	0.80536	0.0000	0.0000	0.0000	-0.0067	-0.0052	-0.0053	-0.0056	0.0055	0.0013	-0.0010	-0.0078	0.0002
83	0.81555	0.0000	0.0000	0.0000	-0.0065	-0.0076	-0.0056	0.0024	0.0046	0.0014	0.0055	-0.0028	0.0031
84	0.82863	0.0000	0.0000	0.0000	-0.0063	-0.0077	-0.0060	0.0024	0.0039	-0.0015	-0.0010	-0.0072	-0.0036
85	0.83868	0.0000	0.0000	0.0000	-0.0039	-0.0071	-0.0106	-0.0042	0.0041	0.0050	-0.0010	-0.0057	-0.0022
