FILE_VERSION	2.0.0
NO_OF_FRAMES	3481
NO_OF_CAMERAS	0
NO_OF_MARKERS	4
FREQUENCY	100
DESCRIPTION	--
TIME_STAMP	2026-03-25, 10:44:48.075	1774431888.07598305
DATA_INCLUDED	3D_ACCELERATION
MARKER_NAMES	RWristIn	LWristIn	RAnkleOut	LAnkleOut
TRAJECTORY_TYPES	Measured	Measured	Measured	Measured
Frame	Time	RWristIn X	RWristIn Y	RWristIn Z	LWristIn X	LWristIn Y	LWristIn Z	RAnkleOut X	RAnkleOut Y	RAnkleOut Z	LAnkleOut X	LAnkleOut Y	LAnkleOut Z
1	0.00000	0.0000	0.0000	0.0000	-0.0037	0.0309	0.0062	0.0051	0.0043	0.0019	0.0000	0.0000	0.0000
2	0.00608	0.0000	0.0000	0.0000	-0.0113	0.0304	0.0073	-0.0008	0.0022	0.0033	-0.0006	-0.0087	-0.0052
3	0.01907	0.0000	0.0000	0.0000	-0.0050	0.0340	0.0059	0.0065	0.0013	0.0019	0.0000	0.0000	0.0000
4	0.02944	0.0000	0.0000	0.0000	-0.0072	0.0367	0.0022	0.0036	0.0006	0.0025	-0.0006	-0.0035	-0.0002
5	0.03021	0.0000	0.0000	0.0000	-0.0123	0.0267	-0.0001	0.0014	-0.0017	-0.0040	-0.0014	-0.0049	-0.0009
6	0.04181	0.0000	0.0000	0.0000	-0.0060	0.0333	0.0088	0.0000	0.0000	0.0000	-0.0006	-0.0063	-0.0001
7	0.05126	0.0000	0.0000	0.0000	-0.0132	0.0316	0.0079	-0.0008	-0.0017	0.0032	-0.0042	0.0017	-0.0032
8	0.06203	0.0000	0.0000	0.0000	-0.0131	0.0298	0.0108	0.0051	0.0010	-0.0026	0.0016	-0.0019	0.0013
9	0.07220	0.0000	0.0000	0.0000	-0.0092	0.0292	0.0044	-0.0000	-0.0019	-0.0019	-0.0006	-0.0012	0.0012
10	0.08261	0.0000	0.0000	0.0000	-0.0104	0.0337	0.0037	0.0044	-0.0021	-0.0033	0.0039	0.0038	-0.0031
11	0.09227	0.0000	0.0000	0.0000	-0.0086	0.0227	0.0003	0.0030	0.0036	-0.0056	-0.0013	-0.0005	-0.0017
12	0.10552	0.0000	0.0000	0.0000	-0.0091	0.0189	0.0025	0.0000	0.0000	0.0000	0.0009	0.0017	0.0012
13	0.11573	0.0000	0.0000	0.0000	-0.0111	0.0165	0.0083	0.0008	0.0036	0.0002	-0.0021	-0.0027	0.0020
14	0.12859	0.0000	0.0000	0.0000	-0.0099	0.0118	0.0026	0.0029	-0.0002	0.0010	0.0016	-0.0034	0.0006
15	0.13883	0.0000	0.0000	0.0000	-0.0136	0.0079	0.0062	-0.0007	0.0020	0.0009	-0.0006	0.0010	0.0012
16	0.14868	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	-0.0007	0.0005	-0.0012	-0.0013	-0.0019	-0.0024
17	0.15054	0.0000	0.0000	0.0000	-0.0052	0.0051	0.0087	0.0000	0.0000	0.0000	0.0045	0.0055	0.0071
18	0.16177	0.0000	0.0000	0.0000	-0.0069	0.0066	0.0108	-0.0029	-0.0010	0.0002	-0.0049	-0.0054	-0.0024
19	0.17257	0.0000	0.0000	0.0000	-0.0034	0.0029	0.0074	-0.0007	-0.0017	0.0039	0.0031	0.0019	-0.0002
20	0.18256	0.0000	0.0000	0.0000	-0.0081	0.0043	0.0088	0.0021	-0.0040	0.0047	-0.0013	0.0005	-0.0009
21	0.19552	0.0000	0.0000	0.0000	-0.0030	-0.0017	0.0047	0.0022	-0.0004	0.0003	-0.0050	-0.0037	0.0034
22	0.20535	0.0000	0.0000	0.0000	-0.0070	-0.0032	0.0083	0.0014	-0.0041	-0.0003	0.0017	-0.0009	-0.0009
23	0.21859	0.0000	0.0000	0.0000	-0.0042	-0.0093	0.0085	0.0051	-0.0012	0.0026	0.0002	-0.0031	-0.0038
24	0.22861	0.0000	0.0000	0.0000	-0.0051	-0.0102	0.0064	0.0029	-0.0042	-0.0024	-0.0019	0.0043	-0.0025
25	0.22911	0.0000	0.0000	0.0000	-0.0002	-0.0162	0.0073	0.0000	0.0000	0.0000	0.0016	-0.0045	-0.0016
26	0.23924	0.0000	0.0000	0.0000	0.0039	-0.0156	0.0133	-0.0036	0.0010	0.0004	-0.0034	-0.0058	-0.0024
27	0.25113	0.0000	0.0000	0.0000	0.0053	-0.0219	0.0034	0.0037	-0.0014	0.0028	0.0003	0.0015	-0.0032
28	0.26113	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
29	0.27305	0.0000	0.0000	0.0000	0.0029	-0.0264	0.0070	-0.0029	0.0002	0.0042	0.0003	0.0015	-0.0018
30	0.28276	0.0000	0.0000	0.0000	0.0027	-0.0279	0.0078	0.0023	0.0036	0.0028	0.0024	-0.0035	0.0005
31	0.29513	0.0000	0.0000	0.0000	-0.0004	-0.0309	0.0063	-0.0029	-0.0014	-0.0008	-0.0005	-0.0004	0.0048
32	0.30518	0.0000	0.0000	0.0000	-0.0007	-0.0294	0.0092	0.0000	0.0000	0.0000	0.0011	-0.0027	-0.0053
33	0.31784	0.0000	0.0000	0.0000	-0.0025	-0.0315	0.0150	0.0008	0.0014	-0.0014	-0.0012	-0.0055	-0.0016
34	0.32848	0.0000	0.0000	0.0000	-0.0007	-0.0363	0.0116	-0.0016	-0.0072	0.0038	0.0003	-0.0025	0.0013
35	0.33931	0.0000	0.0000	0.0000	-0.0011	-0.0388	0.0123	0.0044	-0.0023	0.0009	0.0018	0.0005	0.0020
36	0.34902	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0006	-0.0058	0.0024	-0.0047	0.0021	0.0004
37	0.35125	0.0000	0.0000	0.0000	0.0030	-0.0377	0.0096	0.0036	-0.0060	0.0017	-0.0019	-0.0014	0.0034
38	0.36038	0.0000	0.0000	0.0000	0.0085	-0.0386	0.0068	0.0000	0.0000	0.0000	0.0026	0.0067	0.0026
39	0.37264	0.0000	0.0000	0.0000	0.0080	-0.0401	0.0104	0.0058	-0.0042	-0.0018	-0.0003	0.0032	0.0019
40	0.38345	0.0000	0.0000	0.0000	0.0133	-0.0371	0.0098	0.0000	0.0000	0.0000	0.0019	-0.0019	-0.0009
41	0.39501	0.0000	0.0000	0.0000	0.0091	-0.0405	0.0133	0.0001	0.0011	-0.0002	-0.0011	-0.0039	0.0026
42	0.40494	0.0000	0.0000	0.0000	0.0049	-0.0437	0.0131	0.0000	0.0000	0.0000	0.0019	-0.0024	-0.0002
43	0.41763	0.0000	0.0000	0.0000	0.0057	-0.0455	0.0123	-0.0042	0.0035	0.0028	-0.0024	-0.0030	-0.0032
44	0.42837	0.0000	0.0000	0.0000	0.0088	-0.0436	0.0093	-0.0026	0.0075	0.0029	0.0005	-0.0008	-0.0032
45	0.42981	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0035	0.0029	-0.0011
46	0.43947	0.0000	0.0000	0.0000	0.0066	-0.0391	0.0119	0.0009	-0.0049	-0.0005	0.0006	0.0008	-0.0018
47	0.45926	0.0000	0.0000	0.0000	0.0014	-0.0418	0.0131	-0.0070	0.0002	-0.0042	-0.0024	0.0009	0.0003
48	0.45983	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0070	-0.0029	-0.0002
49	0.47341	0.0000	0.0000	0.0000	0.0027	-0.0401	0.0152	-0.0027	-0.0052	-0.0018	-0.0009	-0.0005	0.0003
50	0.48250	0.0000	0.0000	0.0000	-0.0001	-0.0420	0.0099	0.0004	0.0040	0.0011	0.0019	0.0025	0.0062
51	0.49489	0.0000	0.0000	0.0000	0.0019	-0.0379	0.0126	0.0000	0.0000	0.0000	-0.0039	-0.0026	0.0032
52	0.50440	0.0000	0.0000	0.0000	0.0012	-0.0397	0.0066	0.0017	-0.0012	0.0063	0.0013	0.0025	0.0025
53	0.51686	0.0000	0.0000	0.0000	0.0018	-0.0363	0.0050	0.0018	0.0021	0.0020	0.0012	-0.0054	0.0011
54	0.52745	0.0000	0.0000	0.0000	0.0016	-0.0350	0.0041	-0.0048	-0.0008	0.0035	0.0020	-0.0002	0.0018
55	0.53749	0.0000	0.0000	0.0000	0.0057	-0.0309	-0.0012	0.0000	0.0000	0.0000	-0.0009	-0.0023	-0.0011
56	0.54927	0.0000	0.0000	0.0000	0.0018	-0.0301	0.0006	-0.0011	-0.0019	-0.0029	0.0028	0.0028	0.0011
57	0.54986	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0014	-0.0044	-0.0032
58	0.55949	0.0000	0.0000	0.0000	0.0023	-0.0271	-0.0018	-0.0011	-0.0028	0.0023	-0.0022	0.0037	-0.0011
59	0.57303	0.0000	0.0000	0.0000	0.0035	-0.0256	-0.0019	0.0000	0.0000	0.0000	0.0007	0.0029	-0.0025
60	0.58164	0.0000	0.0000	0.0000	0.0046	-0.0246	0.0001	0.0004	0.0005	-0.0013	0.0015	-0.0000	-0.0075
61	0.59459	0.0000	0.0000	0.0000	0.0030	-0.0186	-0.0082	0.0000	0.0000	0.0000	0.0020	0.0002	0.0042
62	0.60372	0.0000	0.0000	0.0000	-0.0019	-0.0242	-0.0012	0.0004	-0.0041	-0.0033	-0.0045	-0.0004	0.0026
63	0.61711	0.0000	0.0000	0.0000	0.0044	-0.0188	-0.0026	0.0000	0.0000	0.0000	-0.0023	0.0019	0.0048
64	0.62715	0.0000	0.0000	0.0000	0.0009	-0.0140	-0.0058	0.0011	-0.0028	-0.0032	-0.0022	-0.0040	-0.0010
65	0.63838	0.0000	0.0000	0.0000	-0.0032	-0.0115	-0.0039	-0.0018	0.0008	0.0041	-0.0029	-0.0003	-0.0010
66	0.64977	0.0000	0.0000	0.0000	-0.0050	-0.0106	-0.0040	0.0018	-0.0053	0.0020	0.0065	-0.0032	0.0014
67	0.65218	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	-0.0010	-0.0002	0.0049	0.0029	-0.0001	0.0014
68	0.66029	0.0000	0.0000	0.0000	-0.0031	-0.0125	-0.0026	0.0035	0.0046	0.0013	-0.0007	0.0044	-0.0002
69	0.67155	0.0000	0.0000	0.0000	-0.0034	-0.0123	-0.0041	-0.0003	-0.0021	-0.0009	0.0022	0.0037	-0.0001
70	0.68256	0.0000	0.0000	0.0000	-0.0006	-0.0116	-0.0113	-0.0010	0.0007	0.0013	0.0023	0.0022	-0.0029
71	0.69420	0.0000	0.0000	0.0000	0.0018	-0.0107	-0.0039	-0.0010	-0.0008	0.0057	0.0000	0.0017	0.0008
72	0.70434	0.0000	0.0000	0.0000	0.0067	-0.0129	-0.0067	-0.0009	0.0025	-0.0045	0.0008	0.0025	0.0015
73	0.71695	0.0000	0.0000	0.0000	-0.0007	-0.0100	-0.0098	0.0005	-0.0034	-0.0022	-0.0021	0.0033	0.0030
74	0.72704	0.0000	0.0000	0.0000	-0.0019	-0.0074	-0.0076	-0.0016	0.0017	-0.0001	-0.0036	-0.0032	-0.0006
75	0.73817	0.0000	0.0000	0.0000	-0.0008	-0.0069	-0.0039	-0.0016	0.0023	-0.0002	-0.0007	-0.0038	0.0017
76	0.74396	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	-0.0009	0.0000	-0.0009	-0.0014	0.0006	0.0016
77	0.75116	0.0000	0.0000	0.0000	0.0055	-0.0046	-0.0058	0.0005	-0.0007	0.0035	-0.0014	-0.0015	0.0016
78	0.76429	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	-0.0038	-0.0007	0.0005	-0.0043	-0.0014	0.0015
79	0.77144	0.0000	0.0000	0.0000	-0.0033	-0.0057	-0.0081	0.0022	0.0072	0.0020	0.0001	-0.0006	0.0038
80	0.78194	0.0000	0.0000	0.0000	-0.0006	0.0018	-0.0028	-0.0023	0.0021	-0.0002	0.0016	0.0001	0.0009
81	0.79168	0.0000	0.0000	0.0000	-0.0050	-0.0009	-0.0042	0.0035	0.0013	0.0028	0.0015	-0.0012	0.0045
82	0.80444	0.0000	0.0000	0.0000	-0.0009	-0.0029	-0.0003	-0.0016	-0.0016	-0.0031	0.0023	0.0009	0.0023
83	0.81444	0.0000	0.0000	0.0000	0.0013	-0.0036	-0.0023	-0.0001	-0.0001	-0.0031	-0.0049	-0.0012	-0.0015
84	0.82658	0.0000	0.0000	0.0000	-0.0010	-0.0035	-0.0007	-0.0001	0.0035	-0.0046	0.0023	-0.0027	-0.0006
85	0.83674	0.0000	0.0000	0.0000	0.0018	-0.0013	0.0026	0.0020	-0.0015	0.0042	-0.0012	-0.0020	-0.0043
86	0.84986	0.0000	0.0000	0.0000	-0.0032	-0.0057	0.0005	0.0020	-0.0016	-0.0038	0.0001	-0.0019	0.0016
87	0.85452	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	-0.0009	-0.0007	-0.0002	0.0002	0.0011	-0.0014
88	0.86128	0.0000	0.0000	0.0000	-0.0034	-0.0022	0.0050	-0.0001	0.0029	0.0012	0.0016	-0.0004	0.0009
89	0.87215	0.0000	0.0000	0.0000	0.0032	-0.0038	0.0054	0.0006	0.0036	-0.0010	0.0002	-0.0033	0.0009
90	0.88245	0.0000	0.0000	0.0000	-0.0026	-0.0076	0.0047	0.0005	-0.0007	0.0034	-0.0006	-0.0003	0.0030
91	0.89446	0.0000	0.0000	0.0000	-0.0085	-0.0078	0.0098	0.0020	-0.0051	-0.0024	0.0002	0.0011	0.0016
92	0.90439	0.0000	0.0000	0.0000	0.0011	-0.0030	0.0066	-0.0031	0.0010	0.0033	0.0031	-0.0026	0.0017
93	0.91694	0.0000	0.0000	0.0000	-0.0032	-0.0083	0.0059	0.0042	0.0016	0.0047	-0.0013	-0.0003	0.0030
94	0.92677	0.0000	0.0000	0.0000	-0.0032	-0.0022	0.0106	-0.0023	-0.0004	-0.0033	-0.0013	-0.0055	0.0009
