FILE_VERSION	2.0.0
NO_OF_FRAMES	4076
NO_OF_CAMERAS	0
NO_OF_MARKERS	4
FREQUENCY	100
DESCRIPTION	--
TIME_STAMP	2026-03-25, 10:44:47.900	1774431887.90086699
DATA_INCLUDED	3D_ACCELERATION
MARKER_NAMES	RWristIn	LWristIn	RAnkleOut	LAnkleOut
TRAJECTORY_TYPES	Measured	Measured	Measured	Measured
Frame	Time	RWristIn X	RWristIn Y	RWristIn Z	LWristIn X	LWristIn Y	LWristIn Z	RAnkleOut X	RAnkleOut Y	RAnkleOut Z	LAnkleOut X	LAnkleOut Y	LAnkleOut Z
1	0.00000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	-0.0005	-0.0073	0.0047	0.0100	0.0172	0.0417
2	0.00000	0.0000	0.0000	0.0000	-0.0013	0.0289	-0.0781	0.0023	-0.0078	0.0013	0.0125	-0.0019	0.0551
3	0.01482	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	-0.0007	-0.0083	0.0057	0.0133	-0.0025	0.0953
4	0.01613	0.0000	0.0000	0.0000	0.0035	0.0221	-0.0698	0.0051	0.0021	0.0195	0.0056	0.0066	0.1314
5	0.02629	0.0000	0.0000	0.0000	-0.0075	0.0203	-0.0734	-0.0029	0.0022	0.0188	0.0021	0.0105	0.1648
6	0.03848	0.0000	0.0000	0.0000	-0.0162	0.0166	-0.0749	0.0077	-0.0221	-0.0012	-0.0029	0.0272	0.1612
7	0.04913	0.0000	0.0000	0.0000	-0.0147	0.0106	-0.0738	0.0249	-0.0288	0.0078	0.0019	0.0062	0.1619
8	0.06067	0.0000	0.0000	0.0000	-0.0176	0.0168	-0.0735	0.0030	-0.0187	0.0214	0.0067	-0.0461	0.1344
9	0.07423	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	-0.0076	0.0064	0.0366	0.0326	-0.0426	0.1491
10	0.07145	0.0000	0.0000	0.0000	-0.0184	0.0246	-0.0618	-0.0033	0.0046	0.0317	-0.0063	-0.0607	0.0450
11	0.09442	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	-0.0090	0.0118	0.0310	0.1201	0.0517	0.0154
12	0.09373	0.0000	0.0000	0.0000	-0.0184	0.0269	-0.0562	-0.0053	0.0129	0.0230	0.0387	0.0188	0.0133
13	0.10347	0.0000	0.0000	0.0000	-0.0205	0.0277	-0.0550	-0.0074	0.0155	0.0223	0.1019	-0.0212	-0.0596
14	0.11595	0.0000	0.0000	0.0000	-0.0240	0.0249	-0.0545	-0.0038	0.0018	-0.0204	0.0222	-0.0119	0.1175
15	0.12612	0.0000	0.0000	0.0000	-0.0320	0.0138	-0.0463	-0.0062	-0.0046	-0.0196	-0.0049	-0.0542	0.1457
16	0.13770	0.0000	0.0000	0.0000	-0.0297	0.0120	-0.0492	-0.0003	-0.0016	-0.0347	-0.0228	-0.0549	0.1261
17	0.14773	0.0000	0.0000	0.0000	-0.0348	0.0152	-0.0480	0.0117	-0.0129	-0.0414	-0.0310	-0.0047	0.2192
