FILE_VERSION	2.0.0
NO_OF_FRAMES	3515
NO_OF_CAMERAS	0
NO_OF_MARKERS	4
FREQUENCY	100
DESCRIPTION	--
TIME_STAMP	2026-03-25, 10:44:47.853	1774431887.85320592
DATA_INCLUDED	3D_ACCELERATION
MARKER_NAMES	RWristIn	LWristIn	RAnkleOut	LAnkleOut
TRAJECTORY_TYPES	Measured	Measured	Measured	Measured
Frame	Time	RWristIn X	RWristIn Y	RWristIn Z	LWristIn X	LWristIn Y	LWristIn Z	RAnkleOut X	RAnkleOut Y	RAnkleOut Z	LAnkleOut X	LAnkleOut Y	LAnkleOut Z
1	0.00000	0.0000	0.0000	0.0000	0.0034	0.0032	-0.0103	0.0041	0.0028	-0.0050	0.0017	0.0023	0.0033
2	0.00208	0.0000	0.0000	0.0000	0.0021	0.0078	-0.0029	0.0025	0.0018	0.0005	-0.0041	0.0077	0.0009
3	0.01208	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
4	0.02060	0.0000	0.0000	0.0000	-0.0083	0.0034	-0.0060	-0.0042	-0.0013	-0.0019	-0.0006	0.0005	-0.0012
5	0.03252	0.0000	0.0000	0.0000	-0.0112	0.0033	-0.0162	-0.0021	-0.0002	0.0030	0.0002	0.0108	-0.0043
6	0.04278	0.0000	0.0000	0.0000	-0.0088	-0.0025	-0.0081	-0.0034	0.0097	0.0019	0.0029	0.0008	0.0010
7	0.05546	0.0000	0.0000	0.0000	-0.0055	0.0012	-0.0072	-0.0058	0.0038	0.0038	-0.0036	0.0053	-0.0051
8	0.06562	0.0000	0.0000	0.0000	-0.0097	0.0056	-0.0014	0.0051	0.0070	-0.0001	0.0036	0.0025	-0.0021
9	0.07706	0.0000	0.0000	0.0000	-0.0006	0.0064	0.0003	0.0005	-0.0018	0.0004	-0.0002	0.0006	0.0043
10	0.08071	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0069	0.0009	0.0030	-0.0010	0.0001	0.0064
11	0.08855	0.0000	0.0000	0.0000	-0.0096	0.0043	-0.0108	0.0003	0.0059	0.0069	-0.0039	-0.0027	0.0004
12	0.10046	0.0000	0.0000	0.0000	-0.0079	0.0051	-0.0057	-0.0028	0.0007	0.0072	-0.0069	0.0027	0.0067
13	0.11047	0.0000	0.0000	0.0000	-0.0066	0.0124	-0.0108	0.0016	0.0032	0.0003	-0.0048	0.0013	0.0052
14	0.12275	0.0000	0.0000	0.0000	-0.0026	0.0167	-0.0050	-0.0008	0.0023	0.0021	-0.0048	0.0014	0.0043
15	0.13167	0.0000	0.0000	0.0000	0.0015	0.0086	-0.0027	0.0041	-0.0054	0.0063	0.0002	0.0044	0.0035
16	0.14551	0.0000	0.0000	0.0000	0.0035	0.0071	-0.0048	0.0069	-0.0051	-0.0005	-0.0115	0.0010	0.0048
17	0.15519	0.0000	0.0000	0.0000	0.0012	0.0083	-0.0100	0.0054	-0.0055	-0.0029	-0.0014	0.0024	0.0056
18	0.16071	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0001	-0.0111	-0.0052	-0.0022	0.0010	0.0040
19	0.16828	0.0000	0.0000	0.0000	0.0074	0.0161	-0.0034	0.0031	-0.0051	-0.0018	-0.0037	-0.0004	0.0039
20	0.17872	0.0000	0.0000	0.0000	0.0041	0.0134	-0.0028	-0.0029	-0.0057	-0.0007	-0.0008	0.0025	0.0016
