FILE_VERSION	2.0.0
NO_OF_FRAMES	3499
NO_OF_CAMERAS	0
NO_OF_MARKERS	4
FREQUENCY	100
DESCRIPTION	--
TIME_STAMP	2026-03-25, 10:44:47.482	1774431887.48245406
DATA_INCLUDED	3D_ACCELERATION
MARKER_NAMES	RWristIn	LWristIn	RAnkleOut	LAnkleOut
TRAJECTORY_TYPES	Measured	Measured	Measured	Measured
Frame	Time	RWristIn X	RWristIn Y	RWristIn Z	LWristIn X	LWristIn Y	LWristIn Z	RAnkleOut X	RAnkleOut Y	RAnkleOut Z	LAnkleOut X	LAnkleOut Y	LAnkleOut Z
1	0.00000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.1308	0.1114	0.0584
2	0.00000	0.0000	0.0000	0.0000	0.0015	-0.0178	-0.0020	-0.0017	-0.0042	0.0026	0.1342	0.0650	0.0504
3	0.01996	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.1273	0.0241	0.0578
4	0.02060	0.0000	0.0000	0.0000	-0.0036	-0.0142	-0.0046	-0.0059	0.0092	0.0012	0.0000	0.0000	0.0000
5	0.03099	0.0000	0.0000	0.0000	-0.0022	-0.0142	-0.0100	0.0128	-0.0122	-0.0156	0.1347	0.0302	0.0787
6	0.04240	0.0000	0.0000	0.0000	-0.0089	-0.0155	-0.0104	0.0101	-0.0030	-0.0126	0.1409	0.0506	0.1084
7	0.05218	0.0000	0.0000	0.0000	-0.0054	-0.0110	-0.0150	0.0014	0.0040	-0.0068	0.1609	0.0503	0.1113
8	0.06282	0.0000	0.0000	0.0000	0.0009	-0.0087	-0.0114	-0.0048	-0.0167	0.0014	0.0000	0.0000	0.0000
9	0.07388	0.0000	0.0000	0.0000	0.0065	0.0038	-0.0121	-0.0019	-0.0172	-0.0007	0.1952	0.0488	0.1009
10	0.07477	0.0000	0.0000	0.0000	0.0011	0.0069	-0.0145	-0.0122	0.0100	-0.0032	0.0000	0.0000	0.0000
11	0.08577	0.0000	0.0000	0.0000	0.0001	0.0131	-0.0138	-0.0064	0.0116	0.0108	0.2381	0.0964	0.1784
12	0.09683	0.0000	0.0000	0.0000	0.0024	0.0266	-0.0050	-0.0132	0.0401	0.0171	0.0000	0.0000	0.0000
13	0.10532	0.0000	0.0000	0.0000	-0.0030	0.0212	-0.0073	-0.0017	0.0231	0.0031	0.2990	0.1397	0.1678
