FILE_VERSION	2.0.0
NO_OF_FRAMES	5994
NO_OF_CAMERAS	0
NO_OF_MARKERS	4
FREQUENCY	100
DESCRIPTION	--
TIME_STAMP	2026-03-25, 10:44:47.673	1774431887.67316389
DATA_INCLUDED	3D_ACCELERATION
MARKER_NAMES	RWristIn	LWristIn	RAnkleOut	LAnkleOut
TRAJECTORY_TYPES	Measured	Measured	Measured	Measured
Frame	Time	RWristIn X	RWristIn Y	RWristIn Z	LWristIn X	LWristIn Y	LWristIn Z	RAnkleOut X	RAnkleOut Y	RAnkleOut Z	LAnkleOut X	LAnkleOut Y	LAnkleOut Z
1	0.00000	0.0000	0.0000	0.0000	-0.0112	0.0044	-0.0260	0.0009	-0.0028	0.0044	-0.0030	0.0027	-0.0094
2	0.00882	0.0000	0.0000	0.0000	-0.0135	0.0051	-0.0237	-0.0013	0.0048	0.0071	0.0041	-0.0005	0.0005
3	0.01883	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
4	0.02033	0.0000	0.0000	0.0000	-0.0053	0.0064	-0.0290	-0.0006	0.0034	0.0024	0.0043	0.0018	-0.0084
5	0.03076	0.0000	0.0000	0.0000	-0.0054	0.0107	-0.0280	-0.0066	0.0014	0.0026	-0.0017	-0.0015	-0.0013
6	0.04148	0.0000	0.0000	0.0000	-0.0042	0.0049	-0.0238	-0.0006	0.0057	-0.0094	-0.0009	-0.0043	-0.0029
7	0.05303	0.0000	0.0000	0.0000	-0.0013	0.0107	-0.0256	-0.0024	-0.0013	0.0025	-0.0000	0.0031	-0.0067
8	0.06306	0.0000	0.0000	0.0000	-0.0009	0.0158	-0.0187	-0.0060	-0.0011	-0.0046	-0.0015	0.0011	-0.0047
9	0.07354	0.0000	0.0000	0.0000	-0.0038	0.0137	-0.0213	-0.0023	0.0055	-0.0044	-0.0022	0.0013	-0.0048
10	0.08530	0.0000	0.0000	0.0000	-0.0032	0.0137	-0.0209	0.0049	0.0012	-0.0026	-0.0000	-0.0030	-0.0077
11	0.09571	0.0000	0.0000	0.0000	-0.0034	0.0123	-0.0168	0.0033	-0.0023	-0.0032	0.0037	-0.0051	-0.0098
12	0.10673	0.0000	0.0000	0.0000	-0.0107	0.0115	-0.0195	-0.0019	-0.0035	-0.0016	-0.0037	0.0003	-0.0013
13	0.11812	0.0000	0.0000	0.0000	-0.0050	0.0107	-0.0188	-0.0019	-0.0019	0.0006	-0.0014	-0.0041	-0.0093
14	0.12834	0.0000	0.0000	0.0000	-0.0080	0.0070	-0.0191	-0.0040	0.0003	-0.0022	0.0037	-0.0011	-0.0042
15	0.13834	0.0000	0.0000	0.0000	-0.0088	0.0119	-0.0193	0.0011	0.0025	0.0044	0.0008	0.0019	-0.0058
16	0.14850	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0002	-0.0048	0.0031	0.0001	-0.0010	-0.0058
17	0.14956	0.0000	0.0000	0.0000	-0.0059	0.0125	-0.0208	-0.0012	-0.0019	0.0017	0.0015	-0.0038	-0.0028
