FILE_VERSION	2.0.0
NO_OF_FRAMES	3752
NO_OF_CAMERAS	0
NO_OF_MARKERS	4
FREQUENCY	100
DESCRIPTION	--
TIME_STAMP	2026-03-25, 10:44:47.569	1774431887.56922793
DATA_INCLUDED	3D_ACCELERATION
MARKER_NAMES	RWristIn	LWristIn	RAnkleOut	LAnkleOut
TRAJECTORY_TYPES	Measured	Measured	Measured	Measured
Frame	Time	RWristIn X	RWristIn Y	RWristIn Z	LWristIn X	LWristIn Y	LWristIn Z	RAnkleOut X	RAnkleOut Y	RAnkleOut Z	LAnkleOut X	LAnkleOut Y	LAnkleOut Z
1	0.00000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	-0.0027	-0.0017	-0.0099	-0.0018	-0.0045	0.0032
2	0.00000	0.0000	0.0000	0.0000	-0.0101	0.0172	0.0089	-0.0049	0.0061	-0.0023	0.0056	-0.0052	-0.0011
3	0.01000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
4	0.02077	0.0000	0.0000	0.0000	-0.0050	0.0113	0.0097	-0.0012	0.0084	-0.0000	-0.0009	-0.0049	0.0023
5	0.03419	0.0000	0.0000	0.0000	-0.0122	0.0163	0.0087	-0.0035	0.0065	0.0009	0.0007	-0.0054	-0.0030
6	0.04409	0.0000	0.0000	0.0000	-0.0148	0.0133	0.0004	-0.0013	0.0066	0.0047	0.0000	0.0000	0.0000
7	0.05664	0.0000	0.0000	0.0000	-0.0067	0.0119	-0.0010	-0.0064	0.0038	-0.0075	0.0030	0.0081	0.0041
8	0.06733	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0008	0.0024	-0.0073	0.0000	0.0000	0.0000
9	0.06667	0.0000	0.0000	0.0000	-0.0083	0.0177	0.0017	0.0001	0.0018	-0.0071	0.0007	-0.0050	0.0027
10	0.07828	0.0000	0.0000	0.0000	-0.0077	0.0222	0.0088	0.0015	0.0041	-0.0063	0.0001	-0.0027	-0.0003
11	0.08996	0.0000	0.0000	0.0000	-0.0090	0.0171	0.0058	0.0023	0.0072	-0.0011	0.0000	0.0000	0.0000
12	0.09884	0.0000	0.0000	0.0000	-0.0110	0.0177	-0.0010	-0.0014	0.0059	0.0034	0.0006	-0.0149	0.0065
13	0.11089	0.0000	0.0000	0.0000	-0.0152	0.0126	-0.0041	-0.0072	0.0060	-0.0039	-0.0058	-0.0076	0.0012
14	0.12086	0.0000	0.0000	0.0000	-0.0072	0.0169	-0.0033	-0.0021	0.0067	-0.0073	0.0022	-0.0027	0.0026
15	0.13398	0.0000	0.0000	0.0000	-0.0087	0.0197	0.0031	0.0045	0.0096	-0.0035	0.0000	0.0000	0.0000
16	0.14411	0.0000	0.0000	0.0000	-0.0115	0.0238	0.0020	-0.0007	0.0091	-0.0027	0.0009	0.0016	0.0003
17	0.15696	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	-0.0007	0.0048	-0.0040	0.0024	0.0044	-0.0034
18	0.15809	0.0000	0.0000	0.0000	-0.0097	0.0171	-0.0075	-0.0067	0.0014	-0.0025	-0.0022	-0.0107	0.0033
19	0.16652	0.0000	0.0000	0.0000	-0.0061	0.0171	-0.0067	-0.0039	-0.0030	0.0006	0.0014	-0.0070	0.0069
20	0.17873	0.0000	0.0000	0.0000	-0.0075	0.0098	-0.0082	-0.0008	0.0043	-0.0030	-0.0022	-0.0150	0.0025
21	0.18808	0.0000	0.0000	0.0000	-0.0090	0.0149	-0.0061	0.0006	0.0028	-0.0015	0.0000	0.0000	0.0000
22	0.19890	0.0000	0.0000	0.0000	-0.0178	0.0077	-0.0019	-0.0000	0.0064	-0.0036	0.0023	-0.0048	0.0031
23	0.21101	0.0000	0.0000	0.0000	-0.0125	0.0112	-0.0091	-0.0037	0.0065	-0.0029	-0.0013	-0.0049	-0.0007
24	0.22090	0.0000	0.0000	0.0000	-0.0067	0.0155	-0.0067	0.0007	0.0049	-0.0056	-0.0012	-0.0034	-0.0030
25	0.23297	0.0000	0.0000	0.0000	-0.0147	0.0111	-0.0076	-0.0022	0.0064	-0.0055	-0.0006	-0.0099	0.0035
26	0.24368	0.0000	0.0000	0.0000	-0.0163	0.0134	-0.0034	0.0029	0.0078	-0.0018	0.0000	0.0000	0.0000
27	0.25377	0.0000	0.0000	0.0000	-0.0076	0.0173	-0.0063	-0.0021	0.0071	-0.0075	0.0038	-0.0056	0.0049
28	0.26688	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	-0.0009	0.0006	0.0014	0.0008	-0.0077	0.0062
29	0.26663	0.0000	0.0000	0.0000	-0.0005	0.0092	-0.0061	-0.0016	-0.0024	-0.0022	-0.0027	-0.0040	0.0058
30	0.28687	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	-0.0015	0.0034	0.0000	0.0000	0.0000	0.0000
31	0.28850	0.0000	0.0000	0.0000	-0.0045	0.0038	0.0003	-0.0051	0.0041	-0.0065	-0.0027	-0.0113	0.0029
32	0.29894	0.0000	0.0000	0.0000	-0.0005	-0.0015	0.0070	-0.0007	0.0076	-0.0005	-0.0004	-0.0056	-0.0031
33	0.31100	0.0000	0.0000	0.0000	-0.0042	-0.0046	0.0040	-0.0043	0.0061	-0.0041	0.0000	0.0000	0.0000
34	0.32107	0.0000	0.0000	0.0000	-0.0000	-0.0028	0.0049	-0.0028	0.0053	-0.0025	0.0009	-0.0084	0.0078
35	0.33364	0.0000	0.0000	0.0000	0.0015	0.0077	-0.0030	-0.0028	0.0052	-0.0017	-0.0005	-0.0121	0.0012
36	0.34386	0.0000	0.0000	0.0000	-0.0011	0.0076	0.0007	-0.0005	0.0071	-0.0103	0.0018	-0.0026	0.0003
37	0.35707	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0016	0.0049	-0.0051	0.0010	-0.0062	0.0039
38	0.35619	0.0000	0.0000	0.0000	-0.0007	0.0059	0.0073	0.0023	0.0025	-0.0064	0.0026	-0.0032	0.0030
39	0.36619	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
40	0.37805	0.0000	0.0000	0.0000	-0.0028	0.0009	0.0029	0.0000	0.0000	0.0000	-0.0003	-0.0068	0.0022
41	0.38764	0.0000	0.0000	0.0000	-0.0073	0.0040	0.0063	-0.0012	0.0073	-0.0034	-0.0032	-0.0022	0.0041
42	0.40082	0.0000	0.0000	0.0000	-0.0100	0.0091	-0.0011	0.0009	0.0013	-0.0047	0.0020	0.0030	0.0070
43	0.41090	0.0000	0.0000	0.0000	-0.0035	0.0047	-0.0009	-0.0048	0.0064	0.0003	-0.0016	-0.0035	0.0018
44	0.42336	0.0000	0.0000	0.0000	-0.0065	0.0040	0.0076	-0.0047	0.0136	0.0032	0.0035	-0.0086	0.0005
45	0.43346	0.0000	0.0000	0.0000	-0.0115	0.0003	0.0042	-0.0018	0.0119	0.0033	0.0005	-0.0112	0.0041
46	0.44460	0.0000	0.0000	0.0000	-0.0100	0.0039	0.0076	-0.0026	0.0074	0.0027	-0.0008	-0.0060	0.0039
47	0.45597	0.0000	0.0000	0.0000	-0.0113	-0.0004	0.0045	-0.0025	0.0043	-0.0052	0.0007	-0.0083	-0.0027
48	0.46583	0.0000	0.0000	0.0000	-0.0083	0.0018	0.0021	0.0003	0.0020	-0.0021	-0.0031	-0.0095	0.0096
49	0.47715	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0004	0.0004	-0.0049	-0.0022	-0.0096	0.0008
50	0.47797	0.0000	0.0000	0.0000	-0.0090	-0.0025	0.0018	-0.0040	0.0033	-0.0020	0.0058	-0.0089	0.0002
51	0.48829	0.0000	0.0000	0.0000	-0.0060	-0.0002	-0.0014	-0.0031	0.0082	-0.0041	-0.0013	0.0043	-0.0002
52	0.50061	0.0000	0.0000	0.0000	-0.0045	-0.0016	0.0013	-0.0024	0.0030	-0.0047	0.0008	-0.0059	0.0014
