FILE_VERSION	2.0.0
NO_OF_FRAMES	5928
NO_OF_CAMERAS	0
NO_OF_MARKERS	4
FREQUENCY	100
DESCRIPTION	--
TIME_STAMP	2026-03-25, 10:44:47.751	1774431887.75187111
DATA_INCLUDED	3D_ACCELERATION
MARKER_NAMES	RWristIn	LWristIn	RAnkleOut	LAnkleOut
TRAJECTORY_TYPES	Measured	Measured	Measured	Measured
Frame	Time	RWristIn X	RWristIn Y	RWristIn Z	LWristIn X	LWristIn Y	LWristIn Z	RAnkleOut X	RAnkleOut Y	RAnkleOut Z	LAnkleOut X	LAnkleOut Y	LAnkleOut Z
1	0.00000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
2	0.00000	0.0000	0.0000	0.0000	-0.0155	-0.0011	-0.0063	0.0036	0.0003	0.0028	-0.0114	-0.0135	0.0172
3	0.01000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
4	0.02082	0.0000	0.0000	0.0000	-0.0130	-0.0010	-0.0045	0.0065	0.0003	0.0048	-0.0031	-0.0113	-0.0027
5	0.03230	0.0000	0.0000	0.0000	-0.0102	0.0023	-0.0093	-0.0014	0.0034	0.0009	0.0041	-0.0090	-0.0044
6	0.04249	0.0000	0.0000	0.0000	-0.0084	0.0007	-0.0026	0.0023	0.0069	0.0008	0.0047	-0.0052	-0.0009
7	0.05263	0.0000	0.0000	0.0000	-0.0042	0.0042	-0.0059	0.0001	0.0092	0.0013	-0.0146	-0.0078	0.0118
8	0.05941	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0017	0.0136	0.0011	0.0038	0.0057	-0.0014
9	0.06560	0.0000	0.0000	0.0000	-0.0077	0.0084	-0.0021	-0.0027	0.0094	-0.0005	0.0063	-0.0029	0.0078
10	0.07912	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0001	0.0073	0.0051	0.0055	-0.0036	0.0053
11	0.08738	0.0000	0.0000	0.0000	-0.0050	0.0040	-0.0033	0.0016	0.0067	0.0034	0.0004	0.0016	0.0012
12	0.09751	0.0000	0.0000	0.0000	-0.0083	0.0112	0.0004	0.0024	0.0105	0.0060	0.0069	0.0030	-0.0049
13	0.10840	0.0000	0.0000	0.0000	-0.0143	0.0082	-0.0011	0.0015	0.0035	0.0072	-0.0004	0.0077	-0.0011
14	0.11965	0.0000	0.0000	0.0000	-0.0146	0.0117	0.0019	-0.0045	-0.0050	0.0048	0.0074	0.0057	-0.0014
15	0.12993	0.0000	0.0000	0.0000	-0.0135	0.0193	0.0006	-0.0022	0.0018	0.0074	0.0023	0.0060	-0.0036
16	0.14248	0.0000	0.0000	0.0000	-0.0087	0.0191	0.0037	-0.0052	-0.0038	0.0058	-0.0000	0.0006	-0.0020
17	0.15252	0.0000	0.0000	0.0000	-0.0023	0.0195	0.0047	-0.0097	-0.0079	0.0027	0.0007	0.0025	-0.0034
18	0.16464	0.0000	0.0000	0.0000	0.0050	0.0264	-0.0008	-0.0067	-0.0019	0.0055	-0.0054	-0.0071	0.0016
19	0.16935	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0001	0.0060	0.0017	-0.0039	-0.0067	0.0001
20	0.17577	0.0000	0.0000	0.0000	0.0040	0.0209	0.0029	0.0007	-0.0026	0.0017	-0.0019	-0.0091	0.0037
21	0.18751	0.0000	0.0000	0.0000	0.0031	0.0211	0.0057	-0.0008	-0.0054	-0.0027	0.0005	0.0030	0.0011
22	0.19814	0.0000	0.0000	0.0000	0.0068	0.0220	0.0036	0.0014	0.0027	0.0051	0.0004	0.0012	-0.0014
23	0.21002	0.0000	0.0000	0.0000	0.0032	0.0213	0.0041	0.0028	-0.0009	0.0059	0.0025	0.0003	0.0026
24	0.21976	0.0000	0.0000	0.0000	0.0026	0.0166	0.0060	0.0021	-0.0000	0.0051	0.0048	0.0044	-0.0016
25	0.22931	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	-0.0008	-0.0014	0.0065	0.0011	0.0007	-0.0015
26	0.24216	0.0000	0.0000	0.0000	0.0037	0.0099	0.0055	0.0015	0.0037	0.0042	0.0025	0.0066	0.0081
27	0.25487	0.0000	0.0000	0.0000	0.0040	0.0121	0.0053	-0.0014	0.0088	0.0064	0.0048	0.0064	0.0024
28	0.26480	0.0000	0.0000	0.0000	0.0015	0.0112	0.0049	0.0007	0.0000	0.0022	0.0042	0.0136	-0.0033
29	0.26944	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	-0.0050	0.0096	0.0014	0.0071	0.0136	0.0021
30	0.27759	0.0000	0.0000	0.0000	0.0039	0.0088	0.0118	-0.0005	0.0155	0.0043	0.0070	0.0115	0.0067
