FILE_VERSION	2.0.0
NO_OF_FRAMES	3496
NO_OF_CAMERAS	0
NO_OF_MARKERS	4
FREQUENCY	100
DESCRIPTION	--
TIME_STAMP	2026-03-25, 10:44:47.440	1774431887.44025707
DATA_INCLUDED	3D_ACCELERATION
MARKER_NAMES	RWristIn	LWristIn	RAnkleOut	LAnkleOut
TRAJECTORY_TYPES	Measured	Measured	Measured	Measured
Frame	Time	RWristIn X	RWristIn Y	RWristIn Z	LWristIn X	LWristIn Y	LWristIn Z	RAnkleOut X	RAnkleOut Y	RAnkleOut Z	LAnkleOut X	LAnkleOut Y	LAnkleOut Z
1	0.00000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	-0.0066	0.0017
2	0.00000	0.0000	0.0000	0.0000	0.0023	0.0040	0.0012	0.0045	-0.0022	0.0025	0.0052	-0.0037	-0.0004
3	0.01640	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0001	-0.0043	0.0017
4	0.01936	0.0000	0.0000	0.0000	0.0014	0.0113	0.0049	-0.0020	0.0008	0.0046	0.0023	-0.0065	-0.0018
5	0.02922	0.0000	0.0000	0.0000	-0.0073	0.0070	0.0004	-0.0064	0.0023	0.0089	-0.0028	-0.0049	0.0003
6	0.04192	0.0000	0.0000	0.0000	-0.0059	0.0078	0.0020	0.0009	-0.0009	0.0017	-0.0050	-0.0055	-0.0011
7	0.05080	0.0000	0.0000	0.0000	-0.0127	0.0022	0.0043	0.0010	0.0005	-0.0005	0.0038	-0.0035	-0.0031
8	0.05774	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	-0.0020	-0.0017	0.0038	0.0059	-0.0062	0.0028
9	0.06413	0.0000	0.0000	0.0000	-0.0120	0.0044	0.0066	0.0032	0.0018	-0.0020	-0.0005	-0.0019	-0.0046
10	0.07501	0.0000	0.0000	0.0000	-0.0085	0.0030	0.0068	-0.0005	-0.0011	0.0002	-0.0034	0.0005	-0.0024
11	0.08670	0.0000	0.0000	0.0000	-0.0076	0.0022	0.0004	-0.0040	0.0039	-0.0021	0.0009	0.0020	0.0006
12	0.09795	0.0000	0.0000	0.0000	-0.0091	0.0015	0.0012	-0.0033	0.0017	-0.0006	-0.0006	-0.0081	0.0008
13	0.10901	0.0000	0.0000	0.0000	-0.0046	-0.0014	-0.0037	0.0004	0.0059	0.0016	0.0001	-0.0065	0.0016
14	0.11901	0.0000	0.0000	0.0000	-0.0053	-0.0028	-0.0051	-0.0010	0.0058	-0.0021	0.0025	-0.0037	-0.0042
15	0.13105	0.0000	0.0000	0.0000	-0.0055	-0.0035	0.0022	0.0026	0.0028	0.0002	0.0031	-0.0042	0.0025
16	0.14131	0.0000	0.0000	0.0000	-0.0004	-0.0056	0.0009	-0.0025	0.0013	-0.0027	0.0003	0.0002	-0.0013
17	0.14241	0.0000	0.0000	0.0000	-0.0019	0.0018	-0.0006	0.0010	-0.0024	-0.0026	0.0017	-0.0020	-0.0011
18	0.15466	0.0000	0.0000	0.0000	0.0009	0.0055	0.0002	0.0033	0.0025	-0.0012	-0.0019	-0.0056	-0.0040
19	0.16534	0.0000	0.0000	0.0000	0.0002	0.0078	0.0003	-0.0047	0.0005	-0.0005	0.0032	-0.0071	-0.0024
20	0.17642	0.0000	0.0000	0.0000	-0.0050	0.0144	0.0001	0.0012	0.0032	-0.0005	-0.0004	-0.0048	-0.0032
21	0.18641	0.0000	0.0000	0.0000	-0.0095	0.0109	0.0059	-0.0018	0.0003	-0.0035	-0.0041	-0.0039	-0.0003
22	0.19834	0.0000	0.0000	0.0000	-0.0043	0.0059	0.0003	0.0025	-0.0034	0.0024	0.0009	-0.0069	0.0014
23	0.20845	0.0000	0.0000	0.0000	-0.0081	0.0024	0.0024	0.0027	0.0045	0.0008	0.0025	-0.0047	-0.0030
24	0.22142	0.0000	0.0000	0.0000	-0.0045	0.0003	0.0011	-0.0003	-0.0006	-0.0006	0.0010	-0.0017	-0.0015
25	0.23172	0.0000	0.0000	0.0000	-0.0060	-0.0003	0.0012	-0.0026	-0.0057	-0.0007	-0.0011	0.0012	-0.0015
26	0.23275	0.0000	0.0000	0.0000	-0.0052	0.0011	-0.0002	-0.0039	0.0023	-0.0015	-0.0026	-0.0061	-0.0050
27	0.24396	0.0000	0.0000	0.0000	-0.0075	-0.0032	0.0014	-0.0010	-0.0007	-0.0022	-0.0039	0.0020	-0.0065
28	0.25405	0.0000	0.0000	0.0000	-0.0061	-0.0018	0.0023	0.0010	-0.0066	-0.0000	0.0018	0.0020	-0.0034
29	0.26622	0.0000	0.0000	0.0000	-0.0038	0.0010	0.0003	0.0005	0.0022	0.0020	0.0003	-0.0052	0.0004
30	0.27633	0.0000	0.0000	0.0000	-0.0046	0.0024	0.0033	-0.0002	0.0058	-0.0009	-0.0034	-0.0037	0.0018
31	0.28829	0.0000	0.0000	0.0000	-0.0025	0.0044	0.0041	0.0004	-0.0022	-0.0002	-0.0018	-0.0023	-0.0039
32	0.29855	0.0000	0.0000	0.0000	-0.0126	0.0058	0.0003	0.0011	-0.0044	-0.0002	0.0003	-0.0015	-0.0002
33	0.30869	0.0000	0.0000	0.0000	-0.0082	0.0029	-0.0002	0.0018	-0.0051	0.0049	0.0003	-0.0029	0.0013
34	0.32137	0.0000	0.0000	0.0000	-0.0091	-0.0022	0.0057	-0.0046	0.0022	-0.0003	-0.0004	-0.0036	-0.0023
35	0.33150	0.0000	0.0000	0.0000	-0.0103	-0.0008	-0.0051	-0.0025	-0.0023	0.0019	-0.0018	-0.0036	-0.0015
36	0.33330	0.0000	0.0000	0.0000	-0.0083	-0.0029	0.0009	-0.0009	0.0027	0.0033	-0.0032	0.0023	-0.0030
37	0.34386	0.0000	0.0000	0.0000	-0.0061	0.0015	-0.0012	-0.0003	-0.0003	0.0026	-0.0011	-0.0050	-0.0028
38	0.35462	0.0000	0.0000	0.0000	-0.0046	-0.0050	-0.0068	0.0006	0.0025	-0.0018	-0.0010	-0.0035	-0.0049
39	0.36714	0.0000	0.0000	0.0000	-0.0033	0.0001	0.0014	-0.0010	-0.0056	0.0004	-0.0012	-0.0019	0.0039
40	0.37606	0.0000	0.0000	0.0000	-0.0041	0.0037	0.0007	-0.0002	0.0038	0.0046	0.0034	-0.0042	-0.0091
41	0.38789	0.0000	0.0000	0.0000	-0.0003	-0.0021	-0.0056	-0.0000	0.0058	-0.0027	0.0019	0.0003	-0.0011
42	0.39868	0.0000	0.0000	0.0000	-0.0013	0.0009	0.0010	0.0013	-0.0023	-0.0033	0.0004	-0.0018	-0.0017
43	0.40869	0.0000	0.0000	0.0000	-0.0026	0.0009	-0.0040	-0.0016	-0.0023	-0.0004	0.0012	-0.0003	-0.0017
44	0.42142	0.0000	0.0000	0.0000	-0.0099	0.0001	-0.0033	0.0027	-0.0024	-0.0011	0.0012	0.0012	-0.0024
45	0.43129	0.0000	0.0000	0.0000	-0.0021	-0.0034	-0.0021	0.0034	-0.0025	0.0032	-0.0046	0.0028	-0.0025
46	0.44182	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0048	-0.0062	0.0047	0.0006	0.0028	-0.0067
47	0.44473	0.0000	0.0000	0.0000	-0.0036	-0.0019	-0.0020	-0.0024	-0.0062	-0.0034	0.0005	-0.0066	-0.0044
48	0.45455	0.0000	0.0000	0.0000	-0.0115	-0.0026	-0.0064	-0.0002	-0.0048	0.0032	-0.0002	-0.0080	-0.0065
49	0.46587	0.0000	0.0000	0.0000	-0.0072	0.0003	-0.0054	-0.0008	0.0009	0.0038	-0.0002	0.0017	0.0007
50	0.47590	0.0000	0.0000	0.0000	-0.0031	0.0039	0.0021	-0.0030	-0.0028	-0.0013	0.0006	0.0017	-0.0036
51	0.48851	0.0000	0.0000	0.0000	-0.0045	0.0025	-0.0007	0.0007	-0.0001	0.0002	-0.0003	-0.0069	0.0002
52	0.49845	0.0000	0.0000	0.0000	-0.0045	0.0046	0.0001	-0.0015	-0.0009	-0.0005	0.0005	-0.0061	-0.0005
53	0.51126	0.0000	0.0000	0.0000	-0.0074	0.0023	-0.0013	-0.0001	-0.0011	0.0025	0.0000	0.0000	0.0000
54	0.52109	0.0000	0.0000	0.0000	-0.0001	0.0050	-0.0015	-0.0030	-0.0019	0.0010	-0.0010	-0.0060	-0.0013
55	0.53164	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0015	0.0001	-0.0011	0.0027	-0.0059	-0.0012
56	0.53321	0.0000	0.0000	0.0000	-0.0010	0.0027	0.0067	-0.0007	0.0008	0.0011	-0.0046	-0.0072	0.0009
57	0.54344	0.0000	0.0000	0.0000	-0.0110	0.0083	-0.0034	-0.0036	0.0022	0.0011	0.0042	-0.0050	0.0010
58	0.56151	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0016	0.0034	0.0004	0.0005	-0.0042	0.0024
59	0.56569	0.0000	0.0000	0.0000	-0.0023	0.0038	-0.0008	-0.0051	-0.0009	0.0033	0.0006	-0.0012	-0.0013
60	0.57570	0.0000	0.0000	0.0000	0.0041	0.0022	0.0046	-0.0013	0.0003	-0.0024	0.0012	-0.0070	0.0040
