FILE_VERSION	2.0.0
NO_OF_FRAMES	4108
NO_OF_CAMERAS	0
NO_OF_MARKERS	4
FREQUENCY	100
DESCRIPTION	--
TIME_STAMP	2026-03-25, 10:44:48.021	1774431888.02124906
DATA_INCLUDED	3D_ACCELERATION
MARKER_NAMES	RWristIn	LWristIn	RAnkleOut	LAnkleOut
TRAJECTORY_TYPES	Measured	Measured	Measured	Measured
Frame	Time	RWristIn X	RWristIn Y	RWristIn Z	LWristIn X	LWristIn Y	LWristIn Z	RAnkleOut X	RAnkleOut Y	RAnkleOut Z	LAnkleOut X	LAnkleOut Y	LAnkleOut Z
1	0.00000	0.0000	0.0000	0.0000	-0.0066	0.0054	-0.0077	-0.0028	-0.0016	0.0055	0.0013	0.0054	0.0026
2	0.00982	0.0000	0.0000	0.0000	-0.0081	0.0016	-0.0089	-0.0019	-0.0009	-0.0062	-0.0001	0.0031	-0.0010
3	0.02042	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0031	-0.0038	0.0018	0.0035	0.0016	-0.0045
4	0.02313	0.0000	0.0000	0.0000	-0.0044	0.0080	-0.0086	0.0000	0.0000	0.0000	0.0050	0.0045	-0.0045
5	0.03202	0.0000	0.0000	0.0000	-0.0061	0.0065	0.0024	0.0003	0.0043	0.0009	0.0006	0.0009	-0.0008
6	0.04472	0.0000	0.0000	0.0000	-0.0132	0.0077	-0.0055	0.0039	-0.0017	-0.0034	-0.0010	0.0002	0.0021
7	0.05470	0.0000	0.0000	0.0000	-0.0102	0.0047	-0.0053	0.0039	-0.0001	0.0008	0.0020	0.0008	-0.0044
8	0.06697	0.0000	0.0000	0.0000	-0.0103	0.0024	-0.0029	-0.0019	0.0015	0.0058	0.0034	-0.0021	0.0001
9	0.07748	0.0000	0.0000	0.0000	-0.0075	0.0043	0.0041	0.0032	0.0006	-0.0008	-0.0009	0.0008	-0.0029
10	0.08887	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0025	0.0013	-0.0001	0.0005	0.0022	-0.0007
11	0.08987	0.0000	0.0000	0.0000	-0.0066	0.0019	0.0014	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
12	0.09938	0.0000	0.0000	0.0000	-0.0080	0.0046	0.0008	0.0032	-0.0023	0.0013	0.0028	0.0043	-0.0022
13	0.11209	0.0000	0.0000	0.0000	-0.0096	0.0058	0.0053	0.0010	-0.0037	-0.0002	0.0049	0.0029	0.0001
14	0.12212	0.0000	0.0000	0.0000	-0.0058	0.0078	0.0019	0.0033	0.0020	0.0005	0.0019	0.0051	0.0044
15	0.13439	0.0000	0.0000	0.0000	-0.0065	0.0068	0.0063	0.0010	-0.0030	0.0005	-0.0002	0.0029	-0.0014
16	0.14437	0.0000	0.0000	0.0000	-0.0035	0.0044	0.0065	0.0010	-0.0016	-0.0017	0.0034	-0.0008	-0.0020
17	0.15437	0.0000	0.0000	0.0000	-0.0056	-0.0003	0.0043	0.0017	-0.0023	-0.0017	0.0056	-0.0008	-0.0034
18	0.16675	0.0000	0.0000	0.0000	-0.0054	0.0016	0.0030	-0.0019	-0.0001	0.0033	-0.0002	0.0051	0.0001
19	0.17738	0.0000	0.0000	0.0000	-0.0015	0.0009	0.0017	-0.0026	-0.0000	0.0054	0.0004	-0.0014	0.0010
20	0.18915	0.0000	0.0000	0.0000	-0.0036	0.0020	0.0025	0.0010	0.0013	0.0076	0.0027	0.0037	-0.0004
21	0.19915	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
22	0.19925	0.0000	0.0000	0.0000	-0.0021	0.0024	0.0062	0.0018	0.0026	0.0032	-0.0002	0.0001	-0.0004
23	0.21347	0.0000	0.0000	0.0000	-0.0042	0.0035	0.0062	0.0025	0.0004	0.0018	0.0019	-0.0065	0.0005
24	0.22169	0.0000	0.0000	0.0000	-0.0041	0.0089	0.0083	-0.0018	0.0004	-0.0005	-0.0003	0.0002	0.0055
25	0.23435	0.0000	0.0000	0.0000	0.0020	0.0020	0.0041	-0.0009	0.0075	-0.0027	-0.0002	0.0000	-0.0047
26	0.24427	0.0000	0.0000	0.0000	-0.0024	0.0017	0.0091	0.0005	0.0052	-0.0020	0.0012	0.0008	0.0004
27	0.25671	0.0000	0.0000	0.0000	-0.0029	-0.0051	0.0040	0.0000	0.0000	0.0000	0.0034	0.0022	-0.0017
28	0.26683	0.0000	0.0000	0.0000	-0.0034	-0.0071	0.0025	0.0018	-0.0006	0.0003	0.0000	0.0000	0.0000
29	0.27898	0.0000	0.0000	0.0000	-0.0055	-0.0080	0.0032	-0.0040	0.0001	-0.0006	0.0005	0.0044	-0.0011
30	0.28992	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0041	0.0014	-0.0002
31	0.28963	0.0000	0.0000	0.0000	-0.0062	-0.0074	0.0024	-0.0004	-0.0052	-0.0034	-0.0017	-0.0014	-0.0032
32	0.30324	0.0000	0.0000	0.0000	-0.0062	-0.0105	0.0067	-0.0004	-0.0073	0.0016	0.0034	0.0029	-0.0017
33	0.31157	0.0000	0.0000	0.0000	-0.0053	-0.0041	0.0023	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
34	0.32404	0.0000	0.0000	0.0000	-0.0089	-0.0005	0.0036	0.0012	0.0000	0.0008	0.0019	-0.0001	-0.0024
35	0.33406	0.0000	0.0000	0.0000	-0.0061	-0.0100	0.0052	-0.0011	-0.0021	0.0059	0.0019	0.0006	0.0012
36	0.34565	0.0000	0.0000	0.0000	-0.0060	-0.0071	0.0029	-0.0011	-0.0014	0.0015	-0.0002	0.0035	-0.0010
37	0.35564	0.0000	0.0000	0.0000	-0.0015	-0.0091	-0.0022	0.0019	-0.0022	-0.0021	0.0013	0.0049	-0.0039
38	0.36564	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
39	0.36933	0.0000	0.0000	0.0000	-0.0000	-0.0068	-0.0066	0.0011	-0.0028	-0.0029	-0.0025	0.0012	-0.0009
40	0.37933	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
41	0.39117	0.0000	0.0000	0.0000	0.0006	-0.0037	-0.0022	-0.0004	-0.0064	0.0015	0.0004	0.0026	-0.0016
42	0.40246	0.0000	0.0000	0.0000	-0.0024	-0.0022	-0.0023	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
43	0.41154	0.0000	0.0000	0.0000	-0.0002	0.0000	-0.0037	-0.0011	-0.0012	0.0015	0.0018	-0.0018	0.0021
44	0.42388	0.0000	0.0000	0.0000	-0.0002	0.0023	-0.0065	0.0004	-0.0012	0.0044	0.0026	0.0032	-0.0023
45	0.43381	0.0000	0.0000	0.0000	-0.0031	0.0002	-0.0050	0.0026	-0.0005	0.0051	0.0018	0.0003	0.0007
46	0.44602	0.0000	0.0000	0.0000	-0.0016	0.0038	-0.0100	0.0047	-0.0027	0.0052	0.0018	-0.0033	0.0014
47	0.45607	0.0000	0.0000	0.0000	-0.0098	0.0010	-0.0064	0.0018	-0.0049	-0.0043	-0.0017	0.0069	-0.0002
48	0.46908	0.0000	0.0000	0.0000	-0.0076	0.0018	-0.0069	-0.0019	-0.0048	-0.0014	0.0004	0.0024	-0.0023
49	0.47908	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
50	0.47936	0.0000	0.0000	0.0000	-0.0055	0.0018	-0.0038	-0.0026	-0.0026	0.0014	-0.0012	-0.0004	0.0035
51	0.49156	0.0000	0.0000	0.0000	-0.0093	0.0055	-0.0001	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
